과목코드+분반코드,과목명,전체,1학년,2학년,3학년,4학년
LCS2005-01,중국언어와문화I,0.12 : 1,0.25 : 1,0.03 : 1,신청없음,0.02 : 1
LCS2005-02,중국언어와문화I,0.20 : 1,0.50 : 1,신청없음,0.03 : 1,0.02 : 1
LCS2005-03,중국언어와문화I,0.08 : 1,0.15 : 1,0.03 : 1,0.02 : 1,신청없음
LCS2005-04,중국언어와문화I,0.43 : 1,0.90 : 1,0.27 : 1,0.08 : 1,신청없음
LCS2006-01,중국언어와문화II,0.47 : 1,0.70 : 1,0.38 : 1,신청없음,0.11 : 1
LCS2006-02,중국언어와문화II,0.73 : 1,1.40 : 1,0.50 : 1,0.20 : 1,0.08 : 1
LCS2007-01,일본언어와문화I,0.30 : 1,0.14 : 1,0.24 : 1,신청없음,0.09 : 1
LCS2007-02,일본언어와문화I,0.47 : 1,0.57 : 1,0.20 : 1,0.06 : 1,0.11 : 1
LCS2007-03,일본언어와문화I,0.73 : 1,1.29 : 1,0.33 : 1,신청없음,0.08 : 1
LCS2007-04,일본언어와문화I,0.27 : 1,0.29 : 1,0.05 : 1,0.05 : 1,0.08 : 1
LCS2007-05,일본언어와문화I,1.33 : 1,1.00 : 1,1.22 : 1,2.25 : 1,2.00 : 1
LCS2007-06,일본언어와문화I,0.27 : 1,0.43 : 1,신청없음,신청없음,0.08 : 1
LCS2008-01,일본언어와문화II,0.63 : 1,1.30 : 1,0.30 : 1,신청없음,0.18 : 1
LCS2008-02,일본언어와문화II,0.53 : 1,0.20 : 1,0.44 : 1,0.19 : 1,0.18 : 1
LCU4011-01,고급영어회화,0.12 : 1,쿼터없음,신청없음,신청없음,0.12 : 1
LCU4011-02,고급영어회화,0.12 : 1,쿼터없음,신청없음,0.06 : 1,0.08 : 1
LCU4015-01,영화를통한영어연습,1.54 : 1,쿼터없음,2.13 : 1,1.11 : 1,1.33 : 1
LCU4015-02,영화를통한영어연습,0.88 : 1,쿼터없음,0.88 : 1,0.50 : 1,0.71 : 1
LCU4015-03,영화를통한영어연습,1.88 : 1,쿼터없음,2.50 : 1,1.33 : 1,1.89 : 1
LCU4015-04,영화를통한영어연습,1.92 : 1,쿼터없음,2.50 : 1,1.00 : 1,2.22 : 1
LCU4017-01,비즈니스영어연습,0.31 : 1,쿼터없음,0.13 : 1,0.06 : 1,0.25 : 1
LCU4017-02,비즈니스영어연습,1.23 : 1,쿼터없음,0.88 : 1,0.70 : 1,1.50 : 1
LCU4018-01,연극을통한영어연습,0.35 : 1,쿼터없음,0.25 : 1,0.07 : 1,0.22 : 1
LCU4021-01,초급라틴어,0.27 : 1,0.40 : 1,0.08 : 1,신청없음,0.11 : 1
LCU4025-01,초급이탈리아어,0.05 : 1,0.07 : 1,신청없음,신청없음,0.03 : 1
LCU4029-01,이탈리아사회와문화,0.08 : 1,신청없음,0.02 : 1,0.03 : 1,0.05 : 1
LCU4035-01,초급러시아어,0.63 : 1,0.55 : 1,0.21 : 1,0.13 : 1,0.38 : 1
LCU4103-01,기본영어,0.46 : 1,0.19 : 1,0.24 : 1,0.12 : 1,0.18 : 1
LCU4103-02,기본영어,0.54 : 1,0.50 : 1,0.17 : 1,0.07 : 1,0.20 : 1
LCU4107-01,튜터링을통한글쓰기능력신장,1.58 : 1,쿼터없음,0.70 : 1,0.28 : 1,1.82 : 1
LCU4107-02,튜터링을통한글쓰기능력신장,1.35 : 1,쿼터없음,0.50 : 1,0.35 : 1,1.50 : 1
LCU4114-01,중급아랍어,0.04 : 1,0.03 : 1,0.03 : 1,신청없음,신청없음
LED3002-01,리더십훈련,0.23 : 1,0.07 : 1,0.10 : 1,신청없음,0.18 : 1
LED3010-01,발표와토론,0.13 : 1,0.20 : 1,신청없음,신청없음,0.10 : 1
MAE2001-01,미디어&엔터테인먼트개론,1.22 : 1,0.15 : 1,0.95 : 1,1.25 : 1,3.00 : 1
MAE2003-01,영상제작[캡스톤디자인],1.50 : 1,쿼터없음,1.70 : 1,1.80 : 1,1.00 : 1
MAE3001-01,매스커뮤니케이션,1.42 : 1,0.20 : 1,1.29 : 1,2.00 : 1,1.60 : 1
MAE3002-01,"미디어,인간,사회",1.14 : 1,쿼터없음,0.80 : 1,1.05 : 1,1.30 : 1
MAE3003-01,미디어심리학,2.46 : 1,0.40 : 1,1.57 : 1,3.47 : 1,3.40 : 1
MAE3004-01,영화입문,3.40 : 1,쿼터없음,3.20 : 1,4.15 : 1,2.80 : 1
MAE3007-01,드라마의창조적해석,0.30 : 1,쿼터없음,0.30 : 1,0.29 : 1,0.05 : 1
MAE3014-01,커뮤니케이션학입문,2.00 : 1,3.60 : 1,1.00 : 1,2.60 : 1,1.20 : 1
MAE4005-01,Non-Fiction Filmmaking Workshop,3.17 : 1,쿼터없음,쿼터없음,2.17 : 1,3.83 : 1
MAE4018-01,단편영화제작워크숍[캡스톤디자인],0.90 : 1,쿼터없음,0.33 : 1,0.73 : 1,0.80 : 1
MAE4021-01,공연의미학과이론,0.57 : 1,쿼터없음,0.55 : 1,0.59 : 1,0.19 : 1
MAE4023-01,연출입문,1.67 : 1,쿼터없음,2.20 : 1,1.60 : 1,1.20 : 1
MAE4032-01,디지털미디어정책론,1.78 : 1,쿼터없음,0.45 : 1,1.58 : 1,2.45 : 1
MAE4035-01,모바일커뮤니케이션,2.85 : 1,쿼터없음,1.75 : 1,3.75 : 1,3.05 : 1
MAS1003-01,The art of storytelling,2.17 : 1,2.55 : 1,1.20 : 1,쿼터없음,쿼터없음
MAS1003-02,The art of storytelling,2.28 : 1,2.97 : 1,0.60 : 1,쿼터없음,쿼터없음
MAS1003-03,The art of storytelling,0.02 : 1,0.02 : 1,신청없음,쿼터없음,쿼터없음
MAS1004-01,Data&AI,0.73 : 1,0.67 : 1,0.45 : 1,쿼터없음,쿼터없음
MAS1004-02,Data&AI,0.90 : 1,0.54 : 1,0.71 : 1,쿼터없음,쿼터없음
MAS1004-03,Data&AI,0.83 : 1,0.46 : 1,0.58 : 1,쿼터없음,쿼터없음
MAS2002-01,전략커뮤니케이션,2.96 : 1,3.80 : 1,2.40 : 1,3.47 : 1,3.00 : 1
MAS2004-01,인간소통과미디어,3.34 : 1,5.60 : 1,4.95 : 1,1.45 : 1,1.47 : 1
MAS3001-01,미디어커뮤니케이션조사론,0.82 : 1,쿼터없음,2.10 : 1,0.65 : 1,0.26 : 1
MAS3001-02,미디어커뮤니케이션조사론,0.86 : 1,쿼터없음,1.70 : 1,0.80 : 1,0.42 : 1
MAT1060-01,미적분학실습II,1.00 : 1,0.55 : 1,쿼터없음,4.00 : 1,3.00 : 1
MAT1060-02,미적분학실습II,0.62 : 1,0.27 : 1,쿼터없음,3.00 : 1,1.00 : 1
MAT1060-03,미적분학실습II,0.77 : 1,0.73 : 1,쿼터없음,신청없음,1.00 : 1
MAT1060-04,미적분학실습II,0.77 : 1,0.82 : 1,쿼터없음,신청없음,0.50 : 1
MAT1060-05,미적분학실습II,1.69 : 1,1.36 : 1,쿼터없음,4.00 : 1,2.00 : 1
MAT2010-01,집합론,0.38 : 1,0.33 : 1,0.08 : 1,0.05 : 1,신청없음
MAT2110-01,선형대수학,0.87 : 1,쿼터없음,0.60 : 1,0.62 : 1,0.45 : 1
MAT2110-02,선형대수학,1.35 : 1,쿼터없음,0.93 : 1,1.92 : 1,1.80 : 1
MAT2110-03,선형대수학,1.28 : 1,쿼터없음,1.00 : 1,2.10 : 1,1.60 : 1
MAT2120-01,정수론,0.48 : 1,쿼터없음,0.67 : 1,0.23 : 1,0.06 : 1
MAT2120-02,정수론,0.75 : 1,쿼터없음,0.97 : 1,0.43 : 1,0.27 : 1
MAT2220-01,고등미적분학II,0.55 : 1,쿼터없음,0.50 : 1,0.30 : 1,0.13 : 1
MAT2220-02,고등미적분학II,0.68 : 1,쿼터없음,0.28 : 1,0.31 : 1,0.49 : 1
MAT2230-01,미분방정식,0.37 : 1,쿼터없음,0.20 : 1,0.10 : 1,0.21 : 1
MAT2230-02,미분방정식,1.00 : 1,쿼터없음,1.20 : 1,0.75 : 1,0.60 : 1
MAT2420-01,응용수학II,1.03 : 1,쿼터없음,0.80 : 1,0.71 : 1,1.20 : 1
MAT2420-02,응용수학II,0.46 : 1,쿼터없음,0.32 : 1,0.13 : 1,0.13 : 1
MAT3020-01,통계학입문,0.60 : 1,쿼터없음,1.00 : 1,0.55 : 1,0.17 : 1
MAT3020-02,통계학입문,0.40 : 1,쿼터없음,0.50 : 1,0.23 : 1,0.16 : 1
MAT3310-01,다양체기하학,0.35 : 1,쿼터없음,신청없음,0.04 : 1,0.33 : 1
MAT3410-01,확률론입문,0.85 : 1,쿼터없음,0.10 : 1,0.44 : 1,0.79 : 1
MAT3420-01,금융수학,0.85 : 1,쿼터없음,0.20 : 1,0.44 : 1,0.78 : 1
MAT4120-01,추상대수학II,0.60 : 1,쿼터없음,0.10 : 1,0.28 : 1,0.50 : 1
MAT4220-01,복소수함수론II,0.28 : 1,쿼터없음,0.10 : 1,0.15 : 1,0.19 : 1
MAT4320-01,위상수학개론I,1.20 : 1,쿼터없음,0.30 : 1,0.76 : 1,1.41 : 1
MAT4331-01,산업수학종합설계,0.40 : 1,쿼터없음,쿼터없음,0.14 : 1,0.36 : 1
MATG110-01,고급선형대수학,0.42 : 1,쿼터없음,0.10 : 1,0.10 : 1,0.37 : 1
MATG220-01,실해석학II,0.10 : 1,쿼터없음,신청없음,0.07 : 1,0.06 : 1
MATQ982-01,수학교과논리및논술,0.10 : 1,쿼터없음,신청없음,신청없음,0.10 : 1
MEE1005-01,C프로그래밍기초,0.48 : 1,쿼터없음,0.43 : 1,0.08 : 1,0.04 : 1
MEE2007-01,공학수학II,0.78 : 1,쿼터없음,0.66 : 1,0.32 : 1,0.35 : 1
MEE2008-01,공학설계개론,0.65 : 1,0.68 : 1,0.24 : 1,0.10 : 1,0.04 : 1
MEE2008-02,공학설계개론,0.68 : 1,0.60 : 1,0.28 : 1,0.17 : 1,0.13 : 1
MEE2012-01,유체역학I,0.14 : 1,쿼터없음,0.14 : 1,0.06 : 1,신청없음
MEE2012-02,유체역학I,1.36 : 1,쿼터없음,1.38 : 1,2.10 : 1,0.50 : 1
MEE2013-01,동역학,0.15 : 1,쿼터없음,0.14 : 1,0.04 : 1,신청없음
MEE2013-02,동역학,1.33 : 1,쿼터없음,1.36 : 1,1.60 : 1,0.80 : 1
MEE2014-01,디자인과재료,0.68 : 1,쿼터없음,0.49 : 1,0.38 : 1,0.33 : 1
MEE2025-01,모형설계제작,0.83 : 1,쿼터없음,0.90 : 1,0.25 : 1,0.20 : 1
MEE2025-02,모형설계제작,0.54 : 1,쿼터없음,0.45 : 1,0.31 : 1,신청없음
MEE2026-01,2DCAD,0.44 : 1,쿼터없음,0.54 : 1,0.13 : 1,0.04 : 1
MEE3002-01,열역학II,0.48 : 1,쿼터없음,쿼터없음,0.40 : 1,0.23 : 1
MEE3005-01,공학수치해석,0.64 : 1,쿼터없음,쿼터없음,0.72 : 1,0.26 : 1
MEE3005-02,공학수치해석,0.66 : 1,쿼터없음,쿼터없음,0.72 : 1,0.26 : 1
MEE3011-01,부품설계,0.45 : 1,쿼터없음,쿼터없음,0.53 : 1,0.25 : 1
MEE3012-01,자동차동력공학,0.09 : 1,쿼터없음,쿼터없음,0.06 : 1,0.06 : 1
MEE3015-01,설계방법론(캡스톤디자인),0.67 : 1,쿼터없음,쿼터없음,0.76 : 1,0.14 : 1
MEE3015-02,설계방법론(캡스톤디자인),0.73 : 1,쿼터없음,쿼터없음,0.82 : 1,0.17 : 1
MEE3025-01,기계공학실험I,1.17 : 1,쿼터없음,쿼터없음,1.20 : 1,0.80 : 1
MEE3025-02,기계공학실험I,0.07 : 1,쿼터없음,쿼터없음,0.08 : 1,신청없음
MEE3025-03,기계공학실험I,1.90 : 1,쿼터없음,쿼터없음,1.80 : 1,2.40 : 1
MEE3301-01,연구프로젝트Ⅰ,1.40 : 1,쿼터없음,쿼터없음,0.60 : 1,쿼터없음
MEE3301-02,연구프로젝트Ⅰ,1.60 : 1,쿼터없음,쿼터없음,0.40 : 1,쿼터없음
MEE4001-01,유한요소해석,0.46 : 1,쿼터없음,쿼터없음,0.52 : 1,0.27 : 1
MEE4016-01,바이오모방공학개론,0.74 : 1,쿼터없음,쿼터없음,0.60 : 1,0.61 : 1
MEE4021-01,창의적종합설계,0.43 : 1,쿼터없음,쿼터없음,쿼터없음,0.43 : 1
MEE4042-01,열유체시스템설계,0.35 : 1,쿼터없음,쿼터없음,0.07 : 1,0.33 : 1
MEE4047-01,기계공학세미나,0.15 : 1,쿼터없음,쿼터없음,0.07 : 1,0.10 : 1
MEEG012-01,전산유체역학,0.52 : 1,쿼터없음,쿼터없음,0.30 : 1,0.43 : 1
MEEG013-01,고급제어1,0.75 : 1,쿼터없음,쿼터없음,0.77 : 1,0.59 : 1
MEEG111-01,실험계획법과통계분석,0.10 : 1,쿼터없음,쿼터없음,0.03 : 1,0.08 : 1
MGT2002-01,경영통계학,1.57 : 1,2.40 : 1,0.47 : 1,0.78 : 1,0.36 : 1
MGT2002-02,경영통계학,0.84 : 1,1.60 : 1,0.50 : 1,0.59 : 1,0.24 : 1
MGT2002-03,경영통계학,1.91 : 1,2.71 : 1,0.80 : 1,2.42 : 1,0.90 : 1
MGT2002-04,경영통계학,0.51 : 1,0.25 : 1,0.22 : 1,0.27 : 1,0.08 : 1
MGT2002-05,경영통계학,0.53 : 1,0.63 : 1,0.21 : 1,0.13 : 1,0.13 : 1
MGT2002-06,경영통계학,0.07 : 1,0.11 : 1,0.02 : 1,신청없음,신청없음
MGT2003-01,회계학원론,2.63 : 1,5.20 : 1,0.85 : 1,0.56 : 1,0.43 : 1
MGT2003-02,회계학원론,1.43 : 1,1.88 : 1,0.59 : 1,1.18 : 1,2.10 : 1
MGT2003-03,회계학원론,0.24 : 1,0.15 : 1,0.02 : 1,0.10 : 1,0.12 : 1
MGT2003-04,회계학원론,1.26 : 1,2.50 : 1,0.46 : 1,0.62 : 1,0.25 : 1
MGT2003-05,회계학원론,1.81 : 1,1.68 : 1,1.16 : 1,3.55 : 1,3.50 : 1
MGT3001-01,조직행동이론,0.91 : 1,쿼터없음,0.80 : 1,0.97 : 1,0.45 : 1
MGT3001-02,조직행동이론,1.93 : 1,쿼터없음,1.83 : 1,2.07 : 1,1.80 : 1
MGT3001-03,조직행동이론,0.63 : 1,쿼터없음,0.60 : 1,0.24 : 1,0.36 : 1
MGT3001-04,조직행동이론,0.46 : 1,쿼터없음,0.17 : 1,0.31 : 1,0.21 : 1
MGT3002-01,경영정보시스템,0.11 : 1,신청없음,0.10 : 1,0.06 : 1,0.03 : 1
MGT3002-02,경영정보시스템,1.70 : 1,쿼터없음,0.90 : 1,2.35 : 1,1.90 : 1
MGT3002-03,경영정보시스템,3.47 : 1,0.50 : 1,3.16 : 1,5.00 : 1,2.95 : 1
MGT3002-04,경영정보시스템,0.50 : 1,신청없음,0.17 : 1,0.29 : 1,0.33 : 1
MGT3003-01,생산관리론,1.43 : 1,쿼터없음,2.00 : 1,1.88 : 1,0.40 : 1
MGT3003-02,생산관리론,0.21 : 1,쿼터없음,0.45 : 1,0.11 : 1,0.04 : 1
MGT3003-03,생산관리론,0.23 : 1,쿼터없음,0.25 : 1,0.28 : 1,신청없음
MGT3003-04,생산관리론,2.60 : 1,쿼터없음,3.50 : 1,3.80 : 1,0.64 : 1
MGT3004-01,재무관리,2.11 : 1,0.50 : 1,3.24 : 1,2.30 : 1,0.80 : 1
MGT3004-02,재무관리,0.71 : 1,쿼터없음,0.36 : 1,0.78 : 1,0.31 : 1
MGT3004-03,재무관리,1.83 : 1,0.50 : 1,1.28 : 1,2.90 : 1,1.65 : 1
MGT3004-04,재무관리,0.74 : 1,0.20 : 1,0.68 : 1,0.69 : 1,0.38 : 1
MGT3004-05,재무관리,1.20 : 1,0.40 : 1,1.04 : 1,1.80 : 1,0.85 : 1
MGT3005-01,관리회계,2.29 : 1,0.30 : 1,1.45 : 1,5.80 : 1,3.10 : 1
MGT3005-02,관리회계,1.06 : 1,0.20 : 1,0.73 : 1,1.13 : 1,1.10 : 1
MGT3005-03,관리회계,1.03 : 1,신청없음,0.24 : 1,0.94 : 1,1.15 : 1
MGT3006-01,마케팅원론,3.00 : 1,1.80 : 1,3.10 : 1,4.90 : 1,1.55 : 1
MGT3006-02,마케팅원론,0.26 : 1,쿼터없음,0.37 : 1,0.06 : 1,0.07 : 1
MGT3006-03,마케팅원론,0.54 : 1,쿼터없음,0.47 : 1,0.53 : 1,0.11 : 1
MGT3006-04,마케팅원론,0.22 : 1,쿼터없음,0.13 : 1,0.13 : 1,0.02 : 1
MGT3006-05,마케팅원론,1.45 : 1,0.60 : 1,1.21 : 1,1.90 : 1,1.40 : 1
MGT3007-01,국제경영론,0.40 : 1,쿼터없음,0.65 : 1,0.26 : 1,0.16 : 1
MGT3007-02,국제경영론,1.33 : 1,쿼터없음,1.55 : 1,1.95 : 1,0.77 : 1
MGT3007-03,국제경영론,2.64 : 1,쿼터없음,3.45 : 1,3.85 : 1,1.30 : 1
MGT3007-04,국제경영론,0.37 : 1,쿼터없음,0.45 : 1,0.42 : 1,0.08 : 1
MGT3007-05,국제경영론,2.67 : 1,쿼터없음,1.55 : 1,3.20 : 1,2.90 : 1
MGT4102-01,경영전략,2.36 : 1,쿼터없음,쿼터없음,2.38 : 1,2.07 : 1
MGT4102-02,경영전략,0.47 : 1,쿼터없음,1.00 : 1,0.32 : 1,0.32 : 1
MGT4102-03,경영전략,1.26 : 1,쿼터없음,3.70 : 1,0.80 : 1,0.68 : 1
MGT4103-01,조직구조와전략,1.10 : 1,쿼터없음,0.05 : 1,0.54 : 1,1.15 : 1
MGT4105-01,기업윤리,3.17 : 1,쿼터없음,4.50 : 1,2.77 : 1,3.13 : 1
MGT4106-01,인적자원관리,0.79 : 1,쿼터없음,쿼터없음,0.25 : 1,0.72 : 1
MGT4106-02,인적자원관리,0.96 : 1,쿼터없음,1.40 : 1,1.07 : 1,0.80 : 1
MGT4109-01,기업지배구조와기업전략,0.56 : 1,쿼터없음,쿼터없음,0.38 : 1,0.44 : 1
MGT4201-01,의사결정론,1.01 : 1,쿼터없음,0.10 : 1,0.70 : 1,1.03 : 1
MGT4202-01,통계자료분석,0.59 : 1,신청없음,0.20 : 1,0.40 : 1,0.38 : 1
MGT4203-01,경영과학,0.18 : 1,신청없음,신청없음,0.07 : 1,0.14 : 1
MGT4203-02,경영과학,0.53 : 1,신청없음,0.24 : 1,0.23 : 1,0.39 : 1
MGT4203-03,경영과학,0.60 : 1,쿼터없음,0.20 : 1,0.56 : 1,0.35 : 1
MGT4206-01,경영환경에서의시계열자료분석과예측(캡스톤디자인),0.95 : 1,쿼터없음,쿼터없음,0.80 : 1,0.92 : 1
MGT4207-01,응용경영통계,0.69 : 1,쿼터없음,0.10 : 1,0.42 : 1,0.54 : 1
MGT4221-01,경영과정보기술,0.22 : 1,신청없음,신청없음,0.10 : 1,쿼터없음
MGT4224-01,전자상거래개론,0.13 : 1,쿼터없음,신청없음,0.04 : 1,0.10 : 1
MGT4225-01,전사적자원관리소프트웨어활용,1.39 : 1,쿼터없음,신청없음,0.90 : 1,2.00 : 1
MGT4226-01,빅데이터와비즈니스인텔리젼스,3.13 : 1,신청없음,0.80 : 1,3.00 : 1,5.85 : 1
MGT4227-01,지식경영과서비스혁신,0.13 : 1,신청없음,신청없음,0.04 : 1,0.10 : 1
MGT4229-01,미래창업을위한창의성과창의경영,1.67 : 1,신청없음,0.10 : 1,0.77 : 1,2.52 : 1
MGT4241-01,기술경영,3.74 : 1,쿼터없음,1.30 : 1,3.64 : 1,5.80 : 1
MGT4248-01,비즈니스프로세스관리,1.26 : 1,쿼터없음,0.10 : 1,0.65 : 1,1.45 : 1
MGT4301-01,투자론,1.10 : 1,쿼터없음,0.16 : 1,0.89 : 1,1.28 : 1
MGT4301-02,투자론,1.76 : 1,신청없음,0.47 : 1,1.64 : 1,2.50 : 1
MGT4303-01,파생상품론,2.63 : 1,쿼터없음,쿼터없음,2.27 : 1,2.97 : 1
MGT4303-02,파생상품론,0.64 : 1,0.10 : 1,0.07 : 1,0.51 : 1,0.42 : 1
MGT4304-01,포트폴리오관리,0.41 : 1,신청없음,신청없음,0.32 : 1,0.24 : 1
MGT4307-01,금융기관론,1.39 : 1,0.10 : 1,0.45 : 1,1.14 : 1,2.10 : 1
MGT4308-01,벤처캐피탈과투자분석(캡스톤디자인),0.16 : 1,쿼터없음,쿼터없음,0.05 : 1,0.14 : 1
MGT4313-01,벤처와금융시장(캡스톤디자인),2.62 : 1,쿼터없음,0.73 : 1,2.13 : 1,4.10 : 1
MGT4331-01,보험학원론,1.04 : 1,신청없음,0.17 : 1,0.58 : 1,1.08 : 1
MGT4401-01,중급회계1,0.89 : 1,쿼터없음,0.67 : 1,0.73 : 1,0.57 : 1
MGT4401-02,중급회계1,1.79 : 1,쿼터없음,1.27 : 1,1.83 : 1,3.20 : 1
MGT4402-01,중급회계2,0.74 : 1,쿼터없음,0.30 : 1,0.52 : 1,0.51 : 1
MGT4404-01,원가회계,2.46 : 1,쿼터없음,1.23 : 1,2.96 : 1,4.00 : 1
MGT4406-01,세무회계,1.64 : 1,쿼터없음,0.30 : 1,1.35 : 1,2.07 : 1
MGT4503-01,시장조사론,0.80 : 1,쿼터없음,0.05 : 1,0.10 : 1,0.78 : 1
MGT4507-01,유통전략론,1.30 : 1,쿼터없음,0.25 : 1,0.62 : 1,1.51 : 1
MGT4510-01,국제마케팅론,0.40 : 1,쿼터없음,신청없음,0.18 : 1,0.33 : 1
MGT4516-01,인공지능과마케팅,0.64 : 1,쿼터없음,신청없음,0.25 : 1,0.57 : 1
MGT4601-01,기업과국제환경,1.41 : 1,쿼터없음,0.25 : 1,0.94 : 1,1.88 : 1
MGT4601-02,기업과국제환경,0.31 : 1,쿼터없음,0.05 : 1,0.12 : 1,0.24 : 1
MGT4604-01,국제경영전략,0.54 : 1,쿼터없음,신청없음,0.43 : 1,0.40 : 1
MGT4605-01,무역경영관리,1.66 : 1,쿼터없음,0.35 : 1,1.09 : 1,2.43 : 1
MGT4607-01,국제금융시장론,0.63 : 1,쿼터없음,0.10 : 1,0.33 : 1,0.50 : 1
MGT4613-01,중국시장및경영환경의이해,3.00 : 1,쿼터없음,0.30 : 1,2.12 : 1,4.40 : 1
MGT4701-01,경영영어라이팅,0.80 : 1,쿼터없음,쿼터없음,0.20 : 1,0.74 : 1
MGT4713-01,사회적가치창출프랙티컴,1.94 : 1,쿼터없음,쿼터없음,1.66 : 1,2.23 : 1
MGT4717-01,"지식,인성그리고경영(심화)",쿼터없음,쿼터없음,쿼터없음,쿼터없음,쿼터없음
MGTG205-01,재무제표분석(캡스톤디자인),0.47 : 1,쿼터없음,0.30 : 1,0.11 : 1,0.41 : 1
PEP3000-01,"현대문명의정치,경제,철학적이해",0.05 : 1,0.04 : 1,0.01 : 1,0.03 : 1,0.01 : 1
PHI2001-01,철학개론,0.40 : 1,0.65 : 1,0.30 : 1,0.11 : 1,0.14 : 1
PHI2004-01,한국철학사,0.40 : 1,0.40 : 1,0.19 : 1,0.32 : 1,0.13 : 1
PHI2007-01,인식론,0.60 : 1,1.40 : 1,0.85 : 1,0.22 : 1,0.16 : 1
PHI2008-01,윤리학,0.26 : 1,0.50 : 1,0.28 : 1,0.11 : 1,0.04 : 1
PHI3001-01,서양고대철학사,0.97 : 1,쿼터없음,0.80 : 1,0.96 : 1,0.90 : 1
PHI3004-01,서양현대철학사,0.40 : 1,쿼터없음,0.65 : 1,0.33 : 1,0.05 : 1
PHI3007-01,아우구스티누스철학,0.33 : 1,쿼터없음,0.35 : 1,0.21 : 1,0.13 : 1
PHI3011-01,독일관념론,0.10 : 1,쿼터없음,0.05 : 1,0.08 : 1,0.04 : 1
PHI3022-01,철학적인간학,0.07 : 1,쿼터없음,신청없음,0.03 : 1,0.05 : 1
PHI3026-01,심리철학,0.38 : 1,쿼터없음,0.25 : 1,0.34 : 1,0.14 : 1
PHI3028-01,기호논리학,0.37 : 1,쿼터없음,0.15 : 1,0.22 : 1,0.22 : 1
PHI3034-01,"위진,당철학사",0.28 : 1,쿼터없음,0.25 : 1,0.09 : 1,0.17 : 1
PHI3037-01,도가철학,0.28 : 1,쿼터없음,0.30 : 1,0.12 : 1,0.14 : 1
PHI3043-01,주자학,0.32 : 1,쿼터없음,0.05 : 1,0.13 : 1,0.24 : 1
PHI4038-01,철학상담,0.07 : 1,쿼터없음,신청없음,0.03 : 1,0.05 : 1
PHIG083-01,서양철학읽기,0.12 : 1,쿼터없음,0.05 : 1,0.05 : 1,0.07 : 1
PHY1001-01,일반물리I,1.24 : 1,0.70 : 1,1.28 : 1,2.80 : 1,1.20 : 1
PHY1002-01,일반물리II,1.00 : 1,0.72 : 1,0.83 : 1,0.56 : 1,1.00 : 1
