과목명,교수명,수업요일,수업시간,강의실,소속,과목코드,학점,권장학년,교수특징,경쟁점수,꿀점수,배움점수
영문학개론,신경원,화목,16:30~17:45,없음,영미어문,ENG2001-01,3.0,1,없음,알수없음,0.0,0.0
영문학개론,황은주,화목,10:30~11:45,없음,영미어문,ENG2001-02,3.0,1,없음,알수없음,0.0,0.0
영문학배경,김치헌,수금,13:30~14:45,없음,영미어문,ENG2002-01,3.0,24,없음,알수없음,0.0,0.0
언어학개론,이성범,수금,09:00~10:15,J107,,,,,,,,
언어학개론,채서영,월수,10:30~11:45,없음,영미어문,ENG2003-02,3.0,14,없음,2.827,0.0,1.0
영문학작문,장기윤,화목,15:00~16:15,없음,영미어문,ENG2101-01,3.0,12,없음,알수없음,0.0,1.0
영문학작문,BonfiglioRichardPaul,월수,16:30~17:45,없음,,,,,,,,
영문학작문,전선재,수금,09:00~10:15,없음,영미어문,ENG2101-03,3.0,12,없음,알수없음,0.0,0.0
작문과수사학,채서영,수금,15:00~16:15,없음,영미어문,ENG2103-01,3.0,24,없음,1.058,0.0,0.0
산문비평과인문학적사유,김영주,수금,15:00~16:15,없음,영미어문,ENG2105-01,3.0,24,없음,알수없음,0.0,1.0
17세기영문학,김태원,월수,12:00~13:15,없음,영미어문,ENG3005-01,3.0,24,없음,알수없음,0.0,0.0
낭만주의시대의영문학,신경원,화목,13:30~14:45,없음,영미어문,ENG3007-01,3.0,24,없음,알수없음,0.0,0.0
현대서양문학,장기윤,월수,16:30~17:45,없음,영미어문,ENG3102-01,3.0,24,없음,알수없음,0.0,0.0
최근미국문학,황은주,화목,09:00~10:15,없음,영미어문,ENG3108-01,3.0,24,없음,3.017,1.0,0.0
성과문학,김영주,수금,13:30~14:45,없음,영미어문,ENG3211-01,3.0,24,없음,알수없음,0.0,0.0
소설의기원과발달,신경원,화목,12:00~13:15,없음,영미어문,ENG3222-01,3.0,24,없음,알수없음,0.0,0.0
영어음성학,정인기,월수,10:30~11:45,없음,,,,,,,,
영어형태론,정인기,화목,09:00~10:15,없음,영미어문,ENG3302-01,3.0,24,없음,알수없음,0.0,0.0
영어화용론,한승훈,월,13:30~16:15,없음,,,,,,,,
영어통사론,Barrie Michael Jonathan Mathew,화목,12:00~13:15,없음,,,,,,,,
세계화시대의영어:최근동향과이슈,박은성,화목,16:30~17:45,없음,영미어문,ENG3317-01,3.0,24,없음,알수없음,0.0,0.0
언어조사및분석,Barrie Michael Jonathan Mathew,화목,15:00~16:15,없음,,,,,,,,
영어교육론,박은성,화목,10:30~11:45,없음,영미어문,ENG3408-01,3.0,14,없음,알수없음,0.0,0.0
영어발음의이해,Yoo Isaiah WonHo,화목,13:30~14:45,없음,,,,,,,,
영어연설과원고작성법,채서영,월수,12:00~13:15,없음,영미어문,ENG3412-01,3.0,14,없음,알수없음,0.0,0.0
19세기영국문학프로세미나,BonfiglioRichardPaul,목,15:00~18:00,없음,,,,,,,,
20세기미국문학프로세미나,황은주,금,09:00~12:00,없음,영미어문,ENGG007-01,3.0,34,없음,알수없음,0.0,0.0
제2언어습득론입문:이론과적용,박은성,월,14:00~17:00,없음,,,,,,,,
영어논리/논증적글쓰기의이론과실제,이요안,월,13:30~16:20,없음,,,,,,,,
한국사개론1,정일영,수금,13:30~14:45,없음,사학,HIS2003-01,3.0,24,없음,알수없음,0.0,0.0
동아시아사개론1,전인갑,월수,10:30~11:45,없음,사학,HIS2004-01,3.0,24,없음,알수없음,0.0,0.0
서양사개론1,박효근,월,13:30~16:15,없음,사학,HIS2005-01,3.0,24,없음,알수없음,0.0,0.0
역사학입문,윤병남,화목,13:30~14:45,없음,,,,,,,,
조선시대사,계승범,월수,10:30~11:45,없음,사학,HIS3003-01,3.0,24,없음,알수없음,0.0,1.0
중국중세사,정면,수금,09:00~10:15,없음,사학,HIS3007-01,3.0,24,없음,0.92,0.0,0.0
일본현대사,정녕,수금,15:00~16:15,없음,,,,,,,,
민족주의와제국주의시대사,임지현,수금,13:30~14:45,없음,사학,HIS3026-01,3.0,24,없음,알수없음,0.0,0.0
양차세계대전사,이종훈,금,10:30~13:15,없음,사학,HIS3027-01,3.0,24,악마,알수없음,0.0,0.0
현대미국의역사적이해,박현숙,화목,15:00~16:15,없음,사학,HIS3038-01,3.0,24,없음,알수없음,0.0,0.0
한국사학사,최기영,화목,10:30~11:45,없음,,,,,,,,
한중교섭사,계승범,월수,12:00~13:15,없음,사학,HIS3046-01,3.0,24,없음,알수없음,0.0,1.0
한미관계사,허준,화목,16:30~17:45,없음,사학,HIS3048-01,3.0,24,없음,알수없음,0.0,0.0
동서교류사,윤대영,화목,10:30~11:45,없음,사학,HIS3058-01,3.0,24,없음,알수없음,0.0,0.0
문화유산현장실습1,계승범,수,16:30~17:45,없음,,,,,,,,
한국사특강3,최기영,화목,13:30~14:45,없음,사학,HIS4003-01,3.0,34,없음,알수없음,0.0,0.0
동양사특강1,이기천,화목,09:00~10:15,없음,사학,HIS4008-01,3.0,34,없음,알수없음,0.0,0.0
서양사특강1,박단,화목,16:30~17:45,없음,사학,HIS4012-01,3.0,34,없음,알수없음,0.0,0.0
서양사명저해제1,백인호,화목,09:00~10:15,없음,사학,HIS4017-01,3.0,34,없음,알수없음,0.0,0.0
역사교과교육론,김민정,화목,12:00~13:15,없음,,,,,,,,
역사교과논리및논술,김민정,화목,15:00~16:15,없음,,,,,,,,
동양철학개론,이임찬,월,13:30~16:15,없음,철학,PHI2002-01,3.0,24,없음,알수없음,0.0,0.0
서양철학사,서동욱,월수,10:30~11:45,없음,,,,,,,,
논리학개론,오은영,화목,10:30~11:45,없음,,,,,,,,
형이상학,박병준,월수,10:30~11:45,없음,,,,,,,,
서양근대철학사,"Kim, Halla",화목,10:30~11:45,없음,,,,,,,,
플라톤철학,전헌상,화목,16:30~17:45,없음,철학,PHI3005-01,3.0,24,없음,알수없음,1.0,0.0
토마스철학,이상섭,화목,15:00~16:15,없음,철학,PHI3008-01,3.0,24,없음,알수없음,0.0,0.0
현대프랑스철학,서동욱,월수,12:00~13:15,없음,철학,PHI3012-01,3.0,24,없음,알수없음,0.0,0.0
미학개론,김산춘,수금,15:00~16:15,J107,철학,PHI3014-01,3.0,24,없음,알수없음,0.0,0.0
분석철학,김준걸,월수,12:00~13:15,없음,철학,PHI3023-01,3.0,24,없음,알수없음,0.0,0.0
"선진,한철학사",정재현,월수,16:30~17:45,없음,철학,PHI3033-01,3.0,24,없음,0.882,0.0,0.0
"송,명,청철학사",류희성,화목,13:30~14:45,없음,철학,PHI3035-01,3.0,24,없음,알수없음,0.0,0.0
형이상학특강,이상섭,화목,12:00~13:15,없음,철학,PHI4007-01,3.0,24,없음,알수없음,0.0,0.0
예술철학특강,김산춘,화목,15:00~16:15,J107,,,,,,,,
철학교과논리및논술,김민정,화목,15:00~16:15,없음,,,,,,,,
미적분학실습1,오영탁,월,13:30~15:20,없음,수학,MAT1050-01,1.0,1,없음,알수없음,0.0,0.0
미적분학실습1,오영탁,월,15:30~17:20,없음,수학,MAT1050-02,1.0,1,없음,알수없음,0.0,0.0
미적분학실습1,오영탁,수,13:30~15:20,없음,수학,MAT1050-03,1.0,1,없음,알수없음,0.0,0.0
미적분학실습1,오영탁,수,15:30~17:20,없음,수학,MAT1050-04,1.0,1,없음,알수없음,0.0,0.0
미적분학실습1,오영탁,금,10:30~12:20,없음,수학,MAT1050-05,1.0,1,없음,알수없음,0.0,0.0
집합론,신창언,화목,10:30~11:45,없음,수학,MAT2010-01,3.0,2,없음,1.073,0.0,0.0
선형대수학,조상현,수금,09:00~10:15,없음,,,,,,,,
선형대수학,조상현,수금,13:30~14:45,없음,,,,,,,,
선형대수학,이영란,화목,09:00~10:15,없음,수학,MAT2110-03,3.0,2,없음,1.337,0.0,0.0
선형대수학,이영란,화목,09:00~10:15,없음,빅데이터사이언스,MAT2110-03,3.0,2,없음,1.337,0.0,0.0
선형대수학,이영란,화목,09:00~10:15,없음,융합소프트웨어,MAT2110-03,3.0,2,없음,1.337,0.0,0.0
선형대수학,이영란,화목,09:00~10:15,없음,인공지능,MAT2110-03,3.0,2,없음,1.337,0.0,0.0
선형대수학,"Ho, Pak Tung",월수,12:00~13:15,없음,수학,MAT2110-04,3.0,2,없음,알수없음,0.0,0.0
선형대수학,옥지훈,화목,13:30~14:45,없음,수학,MAT2110-05,3.0,2,없음,알수없음,0.0,0.0
선형대수학,옥지훈,화목,13:30~14:45,없음,빅데이터사이언스,MAT2110-05,3.0,2,없음,알수없음,0.0,0.0
선형대수학,옥지훈,화목,13:30~14:45,없음,융합소프트웨어,MAT2110-05,3.0,2,없음,알수없음,0.0,0.0
선형대수학,옥지훈,화목,13:30~14:45,없음,인공지능,MAT2110-05,3.0,2,없음,알수없음,0.0,0.0
고등미적분학1,정순영,월수,10:30~11:45,없음,수학,MAT2210-01,3.0,2,없음,알수없음,0.0,0.0
고등미적분학1,김현석,화목,13:30~14:45,없음,수학,MAT2210-02,3.0,2,없음,알수없음,0.0,1.0
응용수학1,유지현,수금,09:00~10:15,없음,수학,MAT2410-01,3.0,2,도도천사,1.167,0.0,0.0
응용수학1,유지현,수금,09:00~10:15,없음,인공지능,MAT2410-01,3.0,2,도도,1.167,0.0,0.0
응용수학1,김현정,화목,09:00~10:15,없음,인공지능,MAT2410-02,3.0,2,천사,알수없음,0.0,0.0
응용수학1,김현정,화목,09:00~10:15,없음,수학,MAT2410-02,3.0,2,천사,알수없음,0.0,0.0
푸리에해석및응용,임경수,월수,12:00~13:15,없음,,,,,,,,
통계학입문,임경수,월수,10:30~11:45,없음,,,,,,,,
이산수학,오영탁,월수,10:30~11:45,없음,수학,MAT3110-01,3.0,34,없음,알수없음,0.0,1.0
이산수학,오영탁,월수,10:30~11:45,없음,빅데이터사이언스,MAT3110-01,3.0,34,없음,알수없음,0.0,1.0
이산수학,오영탁,월수,10:30~11:45,없음,융합소프트웨어,MAT3110-01,3.0,34,없음,알수없음,0.0,1.0
이산수학,오영탁,월수,10:30~11:45,없음,인공지능,MAT3110-01,3.0,34,없음,알수없음,0.0,1.0
응용통계학및실습,임경필,화목,09:00~10:15,없음,,,,,,,,
응용통계학및실습,임경필,화목,10:30~11:45,없음,수학,MAT3430-02,3.0,34,없음,1.368,1.0,0.0
계산수학및실습,임경수,월수,16:30~17:45,없음,,,,,,,,
추상대수학1,김종락,화목,10:30~11:45,없음,수학,MAT4110-01,3.0,3,없음,알수없음,0.0,0.0
추상대수학1,박진형,수금,13:30~14:45,없음,수학,MAT4110-02,3.0,3,없음,2.254,0.0,1.0
복소수함수론1,조상현,화목,10:30~11:45,없음,수학,MAT4210-01,3.0,3,없음,1.371,1.0,1.0
미분기하학,김종수,화목,13:30~14:45,없음,,,,,,,,
위상수학개론2,조장현,월수,12:00~13:15,없음,수학,MAT4330-01,3.0,4,없음,알수없음,0.0,0.0
실해석학1,이영란,화목,15:00~16:15,없음,수학,MATG210-01,3.0,4,없음,알수없음,0.0,0.0
수학교과교육론,김구연,화목,12:00~13:15,없음,,,,,,,,
일반물리1,양상모,월수,12:00~13:15,없음,물리학,PHY1001-01,3.0,1,없음,알수없음,0.0,0.0
일반물리1,이기진,화목,09:00~10:15,없음,물리학,PHY1001-02,3.0,1,없음,2.065,1.0,1.0
일반물리1,정현식,화목,10:30~11:45,없음,물리학,PHY1001-03,3.0,1,없음,1.654,0.0,1.0
일반물리1,정명화,화목,12:00~13:15,없음,물리학,PHY1001-04,3.0,1,없음,2.438,0.0,0.0
일반물리1,유효빈,화목,13:30~14:45,없음,물리학,PHY1001-05,3.0,1,없음,알수없음,0.0,0.0
일반물리1,김현정,화목,15:00~16:15,없음,물리학,PHY1001-06,3.0,1,없음,알수없음,0.0,0.0
일반물리1,장준익,수금,09:00~10:15,없음,물리학,PHY1001-07,3.0,1,없음,1.026,0.0,0.0
일반물리1,손원민,수금,13:30~14:45,없음,물리학,PHY1001-08,3.0,1,없음,1.145,0.0,0.0
일반물리1,Scopel Stefano,수금,15:00~16:15,없음,,,,,,,,
일반물리실험1,김도석,월,13:30~15:20,R103,물리학,PHY1101-01,1.0,1,없음,1.407,0.0,0.0
일반물리실험1,손원민,월,13:30~15:20,R107,물리학,PHY1101-02,1.0,1,없음,3.308,0.0,0.0
일반물리실험1,김도석,월,15:30~17:20,R103,물리학,PHY1101-03,1.0,1,없음,1.407,0.0,0.0
일반물리실험1,손원민,월,15:30~17:20,R107,물리학,PHY1101-04,1.0,1,없음,3.308,0.0,0.0
일반물리실험1,양상모,월,17:30~19:20,R103,물리학,PHY1101-05,1.0,1,없음,알수없음,0.0,0.0
일반물리실험1,박정혁,월,17:30~19:20,R107,물리학,PHY1101-06,1.0,1,없음,알수없음,0.0,1.0
일반물리실험1,박정혁,화,13:30~15:20,R103,물리학,PHY1101-07,1.0,1,없음,알수없음,0.0,1.0
일반물리실험1,이기진,화,13:30~15:20,R107,물리학,PHY1101-08,1.0,1,없음,1.376,0.0,0.0
일반물리실험1,박정혁,화,15:30~17:20,R103,물리학,PHY1101-09,1.0,1,없음,알수없음,0.0,1.0
일반물리실험1,Scopel Stefano,화,15:30~17:20,R107,,,,,,,,
일반물리실험1,유효빈,화,17:30~19:20,R103,물리학,PHY1101-11,1.0,1,없음,알수없음,0.0,0.0
일반물리실험1,Scopel Stefano,화,17:30~19:20,R107,,,,,,,,
일반물리실험1,김도석,수,13:30~15:20,R103,물리학,PHY1101-13,1.0,1,없음,1.407,0.0,0.0
일반물리실험1,장준익,수,13:30~15:20,R107,물리학,PHY1101-14,1.0,1,없음,알수없음,0.0,0.0
일반물리실험1,이범훈,수,15:30~17:20,R103,물리학,PHY1101-15,1.0,1,없음,1.414,0.0,0.0
일반물리실험1,장준익,수,15:30~17:20,R107,물리학,PHY1101-16,1.0,1,없음,알수없음,0.0,0.0
일반물리실험1,이범훈,수,17:30~19:20,R103,물리학,PHY1101-17,1.0,1,없음,1.414,0.0,0.0
일반물리실험1,양상모,수,17:30~19:20,R107,물리학,PHY1101-18,1.0,1,없음,알수없음,0.0,0.0
일반물리실험1,Scopel Stefano,목,13:30~15:20,R103,,,,,,,,
일반물리실험1,손원민,목,13:30~15:20,R107,물리학,PHY1101-20,1.0,1,없음,3.308,0.0,0.0
일반물리실험1,Scopel Stefano,목,15:30~17:20,R103,,,,,,,,
일반물리실험1,유효빈,목,15:30~17:20,R107,물리학,PHY1101-22,1.0,1,없음,알수없음,0.0,0.0
일반물리실험1,정명화,목,17:30~19:20,R103,물리학,PHY1101-23,1.0,1,없음,1.816,0.0,0.0
일반물리실험1,유효빈,목,17:30~19:20,R107,물리학,PHY1101-24,1.0,1,없음,알수없음,0.0,0.0
일반물리실험1,양상모,금,13:30~15:20,R103,물리학,PHY1101-25,1.0,1,없음,알수없음,0.0,0.0
일반물리실험1,김현정,금,13:30~15:20,R107,물리학,PHY1101-26,1.0,1,없음,알수없음,0.0,0.0
일반물리실험1,양상모,금,15:30~17:20,R103,물리학,PHY1101-27,1.0,1,없음,알수없음,0.0,0.0
일반물리실험1,이범훈,금,15:30~17:20,R107,물리학,PHY1101-28,1.0,1,없음,1.414,0.0,0.0
역학1,Scopel Stefano,수금,09:00~10:15,없음,,,,,,,,
전자기학1,김현정,화목,13:30~14:45,없음,물리학,PHY2003-01,3.0,2,없음,알수없음,0.0,0.0
전자기학2,이범훈,수금,13:30~14:45,없음,,,,,,,,
수리물리학1,이범훈,월수,10:30~11:45,없음,물리학,PHY2005-01,3.0,2,없음,알수없음,0.0,0.0
실험물리학1,이기진,월,15:00~18:50,R110,물리학,PHY2101-01,2.0,2,없음,알수없음,0.0,0.0
실험물리학1,정명화,수,15:00~18:50,R110,물리학,PHY2101-02,2.0,2,없음,알수없음,0.0,0.0
실험물리학1,이기진,목,15:00~18:50,R110,물리학,PHY2101-03,2.0,2,없음,알수없음,0.0,0.0
실험물리학1,정명화,금,15:00~18:50,R110,물리학,PHY2101-04,2.0,2,없음,알수없음,0.0,0.0
양자물리학1,김도석,월수,12:00~13:15,K301,,,,,,,,
열역학,박정혁,화목,12:00~13:15,없음,물리학,PHY3003-01,3.0,3,없음,알수없음,0.0,0.0
실험물리학3,김현정,월,15:00~18:50,R108,물리학,PHY3101-01,2.0,3,없음,알수없음,0.0,0.0
실험물리학3,김현정,수,15:00~18:50,R108,물리학,PHY3101-02,2.0,3,없음,알수없음,0.0,0.0
실험물리학3,장준익,목,15:00~18:50,R108,물리학,PHY3101-03,2.0,3,없음,알수없음,0.0,0.0
실험물리학3,유효빈,금,15:00~18:50,R108,물리학,PHY3101-04,2.0,3,없음,알수없음,0.0,0.0
고체물리학1,양상모,화목,15:00~16:15,없음,,,,,,,,
현대광학1,장준익,화목,09:00~10:15,없음,,,,,,,,
특수연구,이기진,화,16:30~18:00,없음,,,,,,,,
물리학특강,유효빈,화목,10:30~11:45,없음,물리학,PHY4202-01,3.0,34,없음,알수없음,0.0,0.0
물리특허와기술이전,김현진,화,15:00~15:50,없음,,,,,,,,
고전물리1,손원민,수금,09:00~10:15,없음,물리학,PHYG001-01,3.0,4,없음,알수없음,0.0,0.0
경제학원론1,양현주,월수,10:30~11:45,없음,경제학,ECO2001-01,3.0,1,없음,2.195,0.0,1.0
경제학원론1,안태현,월수,12:00~13:15,없음,,,,,,,,
경제학원론1,이진권,월수,16:30~17:45,없음,경제학,ECO2001-03,3.0,1,없음,알수없음,0.0,0.0
경제학원론1,이우석,월수,16:30~17:45,없음,경제학,ECO2001-04,3.0,1,없음,알수없음,0.0,0.0
경제학원론1,Iris Haydar Doruk,수금,09:00~10:15,없음,,,,,,,,
경제학원론1,김숙영,화목,09:00~10:15,없음,경제학,ECO2001-06,3.0,1,없음,알수없음,0.0,0.0
경제학원론1,김홍균,화목,13:30~14:45,없음,경제학,ECO2001-07,3.0,1,꼰대,2.073,0.0,0.0
경제학원론1,왕윤종,화목,16:30~17:45,없음,경제학,ECO2001-08,3.0,1,도도,3.756,1.0,0.0
경제학원론1,김진원,화목,10:30~11:45,없음,경제학,ECO2001-09,3.0,1,없음,알수없음,0.0,0.0
경제학원론2,곽노선,월수,10:30~11:45,없음,경제학,ECO2002-01,3.0,1,꿀귀,1.214,0.0,1.0
경제학원론2,송의영,월수,12:00~13:15,없음,경제학,ECO2002-02,3.0,1,꿀귀도도,2.062,0.0,1.0
경제학원론2,김경환,화목,15:00~16:15,없음,경제학,ECO2002-03,3.0,1,없음,알수없음,0.0,0.0
경제학원론2,정국모,화목,16:30~17:45,없음,경제학,ECO2002-04,3.0,1,없음,알수없음,0.0,0.0
경제학원론2,김진원,수금,09:00~10:15,없음,경제학,ECO2002-05,3.0,1,없음,알수없음,0.0,0.0
경제수리기초,박경옥,월수,16:30~17:45,없음,경제학,ECO2003-01,3.0,1,없음,2.794,1.0,0.0
경제수리기초,박경옥,월수,16:30~17:45,없음,융합소프트웨어,ECO2003-01,3.0,1,없음,2.775,1.0,0.0
경제수리기초,김형욱,수금,15:00~16:15,없음,,,,,,,,
경제통계학,주하연,수금,13:30~14:45,없음,,,,,,,,
경제통계학,사공용,화목,09:00~10:15,없음,,,,,,,,
경제통계학,이한식,화목,10:30~11:45,없음,경제학,ECO2004-03,3.0,1,없음,알수없음,0.0,0.0
경제통계학,이한식,화목,10:30~11:45,없음,빅데이터사이언스,ECO2004-03,3.0,1,없음,알수없음,0.0,0.0
경제통계학,이한식,화목,10:30~11:45,없음,융합소프트웨어,ECO2004-03,3.0,1,없음,알수없음,0.0,0.0
경제통계학,사공용,화목,15:00~16:15,없음,경제학,ECO2004-04,3.0,1,꿀귀,1.867,1.0,1.0
경제통계학,사공용,화목,15:00~16:15,없음,빅데이터사이언스,ECO2004-04,3.0,1,꿀귀,1.914,1.0,1.0
경제통계학,사공용,화목,15:00~16:15,없음,융합소프트웨어,ECO2004-04,3.0,1,꿀귀,1.914,1.0,1.0
경제정보분석,이강오,수금,15:00~16:15,없음,경제학,ECO2005-01,3.0,2,없음,1.309,0.0,0.0
미시경제학1,이강오,수금,13:30~14:45,없음,경제학,ECO2006-01,3.0,2,없음,알수없음,0.0,0.0
미시경제학1,왕규호,화목,10:30~11:45,없음,,,,,,,,
미시경제학1,김도영,화목,12:00~13:15,없음,경제학,ECO2006-03,3.0,2,없음,2.049,0.0,0.0
미시경제학1,왕규호,화목,13:30~14:45,없음,경제학,ECO2006-04,3.0,2,꼰대,알수없음,0.0,0.0
거시경제학1,이윤수,월수,12:00~13:15,없음,경제학,ECO2007-01,3.0,2,없음,1.946,1.0,0.0
거시경제학1,이윤수,월수,12:00~13:15,없음,인공지능,ECO2007-01,3.0,2,없음,1.946,1.0,0.0
거시경제학1,정국모,화목,09:00~10:15,없음,,,,,,,,
거시경제학1,박정수,화목,16:30~17:45,없음,경제학,ECO2007-03,3.0,2,없음,알수없음,0.0,0.0
거시경제학1,박정수,화목,16:30~17:45,없음,인공지능,ECO2007-03,3.0,2,없음,알수없음,0.0,0.0
수리경제학,김영철,화목,12:00~13:15,없음,경제학,ECO2008-01,3.0,2,없음,1.377,1.0,1.0
계량경제학1,남준우,화목,10:30~11:45,없음,,,,,,,,
계량경제학1,이한식,화목,13:30~14:45,없음,경제학,ECO2009-02,3.0,23,없음,1.69,0.0,0.0
계량경제학1,이한식,화목,13:30~14:45,없음,빅데이터사이언스,ECO2009-02,3.0,23,없음,1.724,0.0,0.0
산업경제학,주하연,수금,15:00~16:15,없음,경제학,ECO3001-01,3.0,34,도도,알수없음,0.0,0.0
노동경제학,안태현,월수,10:30~11:45,없음,경제학,ECO3002-01,3.0,34,없음,2.116,0.0,0.0
도시경제학,김경환,화목,10:30~11:45,없음,,,,,,,,
금융경제학,남주하,수금,13:30~14:45,없음,,,,,,,,
공공경제학,김홍균,화목,10:30~11:45,없음,,,,,,,,
국제무역론,허정,화목,12:00~13:15,없음,,,,,,,,
국제금융론,김윤정,월수,12:00~13:15,없음,경제학,ECO3011-01,3.0,34,없음,1.635,0.0,0.0
개발경제학,양현주,월수,16:30~17:45,없음,,,,,,,,
경제성장론,송의영,월수,10:30~11:45,없음,,,,,,,,
금융시장의빅데이터분석,정재식,화목,10:30~11:45,없음,경제학,ECO3022-01,3.0,34,없음,알수없음,0.0,0.0
AI금융,정재식,화목,13:30~14:45,없음,경제학,ECO3023-01,3.0,34,없음,알수없음,0.0,0.0
경제수리통계학,남준우,화목,15:00~16:15,없음,,,,,,,,
금융정책,허준영,수금,15:00~16:15,없음,경제학,ECO4008-01,3.0,34,없음,알수없음,0.0,0.0
파생상품시장,사공용,화목,13:30~14:45,없음,,,,,,,,
국제금융시장,박정수,화목,12:00~13:15,없음,,,,,,,,
