과목명,교수명,수업요일,수업시간,강의실,소속,과목코드,학점,권장학년,교수특징,경쟁점수,꿀점수,배움점수
경제학특강1,이윤수,월수,10:30~11:45,없음,경제학,ECO4018-01,3.0,24,없음,알수없음,0.0,0.0
기업금융론,김도영,화목,15:00~16:15,없음,경제학,ECO4025-01,3.0,34,없음,알수없음,0.0,0.0
행동경제학,Iris Haydar Doruk,수금,13:30~14:45,없음,,,,,,,,
금융시장계량분석(캡스톤디자인),최인,화목,09:00~10:15,없음,경제학,ECO4032-01,3.0,34,없음,2.164,0.0,0.0
금융시장계량분석(캡스톤디자인),최인,화목,09:00~10:15,없음,빅데이터사이언스,ECO4032-01,3.0,34,없음,2.258,0.0,0.0
금융시장행태주의(behavioral)분석(캡스톤디자인),정재식,화목,09:00~10:15,없음,경제학,ECO4034-01,3.0,34,없음,알수없음,0.0,0.0
금융시장행태주의(behavioral)분석(캡스톤디자인),정재식,화목,09:00~10:15,없음,빅데이터사이언스,ECO4034-01,3.0,34,없음,알수없음,0.0,0.0
고급미시경제학1,왕규호,월수,10:30~11:45,없음,경제학,ECOG010-01,3.0,4,꼰대,알수없음,0.0,0.0
고급거시경제학1,남주하,수금,15:00~16:15,없음,,,,,,,,
고급계량경제학1,이성원,화목,15:00~16:15,없음,경제학,ECOG030-01,3.0,4,없음,알수없음,0.0,0.0
고급수리통계학,최인,화목,12:00~13:15,없음,경제학,ECOG040-01,3.0,14,없음,1.127,0.0,0.0
일반생물학1,정광환,월수,10:30~11:45,없음,,,,,,,,
일반생물학1,"Lee, Hosuk Sean",월수,12:00~13:15,없음,,,,,,,,
일반생물학1,주봉건,화목,10:30~11:45,K302,생명과학,BIO1101-03,3.0,1,도도,1.055,0.0,1.0
일반생물학1,이규호,화목,12:00~13:15,없음,생명과학,BIO1101-04,3.0,1,꼰대,1.138,1.0,0.0
일반생물학1,김건수,화목,13:30~14:45,없음,생명과학,BIO1101-05,3.0,1,꿀귀천사,1.393,0.0,0.0
일반생물학실험1,"Lee, Hosuk Sean",월,13:30~16:15,K213,,,,,,,,
일반생물학실험1,김종찬,월,16:30~19:15,K213,생명과학,BIO1105-02,1.0,1,없음,알수없음,0.0,0.0
일반생물학실험1,주봉건,화,13:30~16:15,K213,생명과학,BIO1105-03,1.0,1,도도,알수없음,0.0,0.0
일반생물학실험1,이병하,화,16:30~19:15,K213,생명과학,BIO1105-04,1.0,1,없음,1.563,1.0,0.0
일반생물학실험1,이갑열,수,13:30~16:15,K213,생명과학,BIO1105-05,1.0,1,없음,알수없음,0.0,0.0
일반생물학실험1,이정국,수,16:30~19:15,K213,생명과학,BIO1105-06,1.0,1,없음,알수없음,0.0,0.0
일반생물학실험1,신형두,목,13:30~16:15,K213,생명과학,BIO1105-07,1.0,1,없음,알수없음,0.0,0.0
일반생물학실험1,서미정,목,16:30~19:15,K213,생명과학,BIO1105-08,1.0,1,없음,알수없음,0.0,0.0
일반생물학실험1,이정하,금,13:30~16:15,K213,생명과학,BIO1105-09,1.0,1,없음,1.407,0.0,0.0
일반생물학실험1,이규호,금,16:30~19:15,K213,생명과학,BIO1105-10,1.0,1,꼰대,알수없음,0.0,0.0
현대생물학실험1,신형두,월,13:30~18:20,R204,생명과학,BIO2121-01,3.0,2,없음,1.6,0.0,0.0
현대생물학실험1,이정하,화,13:30~18:20,R204,생명과학,BIO2121-02,3.0,2,없음,알수없음,0.0,0.0
현대생물학실험1,김정호,수,13:30~18:20,R204,생명과학,BIO2121-03,3.0,2,없음,1.381,0.0,0.0
현대생물학실험1,한징택,목,13:30~18:20,R204,생명과학,BIO2121-04,3.0,2,없음,알수없음,0.0,0.0
생화학1,이정국,수금,09:00~10:15,K302,,,,,,,,
세포학,한징택,화목,09:00~10:15,없음,,,,,,,,
생명유기화학,서미정,월수,12:00~13:15,없음,,,,,,,,
숙주미생물상호작용,이갑열,월수,10:30~11:45,없음,생명과학,BIO2350-01,3.0,23,없음,알수없음,0.0,0.0
유전자클로닝개론,김정호,화목,12:00~13:15,없음,,,,,,,,
현대생물학실험3,김건수,월,13:30~18:20,R210,생명과학,BIO3123-01,3.0,3,꿀귀천사,1.902,0.0,0.0
현대생물학실험3,김성룡,화,13:30~18:20,R210,생명과학,BIO3123-02,3.0,3,없음,알수없음,0.0,0.0
현대생물학실험3,주봉건,수,13:30~18:20,R210,생명과학,BIO3123-03,3.0,3,도도,1.5,0.0,0.0
현대생물학실험3,정광환,목,13:30~18:20,R210,생명과학,BIO3123-04,3.0,3,없음,알수없음,0.0,0.0
생명공학개론,"Lee, Hosuk Sean",화목,10:30~11:45,없음,,,,,,,,
발생학,김원선,화목,13:30~14:45,없음,생명과학,BIO3311-01,3.0,34,없음,0.868,0.0,0.0
미생물생리학,이규호,월수,10:30~11:45,없음,생명과학,BIO3712-01,3.0,34,꼰대,0.653,0.0,0.0
생명과학특허와기술이전,김현진,화,15:00~15:50,없음,,,,,,,,
암생물학,김정호,수금,09:00~10:15,없음,,,,,,,,
인체생리학,이정하,화목,09:00~10:15,없음,,,,,,,,
식물발달생물학,이병하,월수,12:00~13:15,K302,생명과학,BIO4521-01,3.0,4,없음,1.686,1.0,0.0
식물유전공학,김성룡,화목,10:30~11:45,없음,생명과학,BIO4911-01,3.0,4,없음,알수없음,0.0,0.0
경영통계학,이군희,월수,10:30~11:45,없음,,,,,,,,
경영통계학,김명석,화목,13:30~14:45,없음,,,,,,,,
경영통계학,이윤동,수금,13:30~14:45,없음,경영학,MGT2002-03,3.0,1,꿀귀,2.172,0.0,1.0
경영통계학,이윤동,수금,13:30~14:45,없음,빅데이터사이언스,MGT2002-03,3.0,1,꿀귀,2.172,0.0,1.0
경영통계학,이윤동,수금,13:30~14:45,없음,융합소프트웨어,MGT2002-03,3.0,1,꿀귀,2.172,0.0,1.0
경영통계학,김범수,월수,16:30~17:45,없음,경영학,MGT2002-04,3.0,1,없음,1.737,0.0,0.0
경영통계학,김범수,월수,16:30~17:45,없음,빅데이터사이언스,MGT2002-04,3.0,1,없음,1.737,0.0,0.0
경영통계학,김범수,월수,16:30~17:45,없음,융합소프트웨어,MGT2002-04,3.0,1,없음,1.737,0.0,0.0
경영통계학,정예숙,화목,16:30~17:45,없음,경영학,MGT2002-05,3.0,1,없음,2.02,0.0,0.0
경영통계학,정예숙,화목,16:30~17:45,없음,빅데이터사이언스,MGT2002-05,3.0,1,없음,2.05,0.0,0.0
경영통계학,정예숙,화목,16:30~17:45,없음,융합소프트웨어,MGT2002-05,3.0,1,없음,2.05,0.0,0.0
회계학원론,강평경,화목,15:00~16:15,없음,경영학,MGT2003-01,3.0,12,없음,알수없음,1.0,0.0
회계학원론,박두리,화목,12:00~13:15,없음,경영학,MGT2003-02,3.0,12,없음,2.596,1.0,0.0
회계학원론,변상혁,수금,13:30~14:45,없음,경영학,MGT2003-03,3.0,12,꿀귀도도천사,1.721,1.0,1.0
회계학원론,변상혁,수금,15:00~16:15,없음,경영학,MGT2003-04,3.0,12,꿀귀도도천사,1.721,1.0,1.0
회계학원론,양준선,월수,12:00~13:15,없음,경영학,MGT2003-05,3.0,12,없음,1.56,0.0,1.0
회계학원론,최순재,화목,10:30~11:45,없음,경영학,MGT2003-04,3.0,12,꿀귀도도,1.505,0.0,1.0
회계학원론,최순재,화목,10:30~11:45,없음,경영학,MGT2003-06,3.0,12,꿀귀도도,1.505,0.0,1.0
조직행동이론,양동훈,화목,15:00~16:15,없음,,,,,,,,
조직행동이론,조봉순,월수,12:00~13:15,없음,,,,,,,,
조직행동이론,최장호,화목,12:00~13:15,없음,,,,,,,,
조직행동이론,장영균,화목,13:30~14:45,없음,경영학,MGT3001-03,3.0,24,없음,1.534,0.0,1.0
조직행동이론,이지운,수금,13:30~14:45,없음,경영학,MGT3001-05,3.0,24,없음,알수없음,0.0,0.0
조직행동이론,이인석,월수,10:30~11:45,없음,경영학,MGT3001-01,3.0,24,악마,0.538,0.0,0.0
조직행동이론,이인석,월수,10:30~11:45,없음,경영학,MGT3001-06,3.0,24,악마,0.538,0.0,0.0
경영정보시스템,김용진,월수,10:30~11:45,없음,,,,,,,,
경영정보시스템,이상근,월수,12:00~13:15,없음,,,,,,,,
경영정보시스템,오혜림,화목,15:00~16:15,없음,경영학,MGT3002-03,3.0,24,없음,알수없음,0.0,0.0
경영정보시스템,한재형,월수,16:30~17:45,없음,경영학,MGT3002-04,3.0,24,없음,1.824,1.0,0.0
생산관리론,김길선,화목,10:30~11:45,없음,,,,,,,,
생산관리론,김민균,월수,10:30~11:45,없음,경영학,MGT3003-02,3.0,24,없음,2.89,0.0,0.0
생산관리론,이준겸,화목,12:00~13:15,없음,경영학,MGT3003-03,3.0,24,꿀귀,1.368,0.0,0.0
생산관리론,강세원,수금,13:30~14:45,없음,경영학,MGT3003-04,3.0,24,없음,알수없음,0.0,0.0
재무관리,이정진,화목,12:00~13:15,없음,경영학,MGT3004-01,3.0,24,꼰대,2.434,0.0,0.0
재무관리,홍광헌,화목,13:30~14:45,없음,경영학,MGT3004-02,3.0,24,꼰대악마,1.77,0.0,0.0
재무관리,김도성,월수,12:00~13:15,없음,경영학,MGT3004-03,3.0,24,도도천사,2.145,0.0,1.0
재무관리,이상호,화목,09:00~10:15,없음,,,,,,,,
재무관리,이영주,수금,13:30~14:45,없음,경영학,MGT3004-05,3.0,24,없음,2.292,0.0,0.0
관리회계,변상혁,수금,09:00~10:15,없음,경영학,MGT3005-01,3.0,23,꿀귀도도천사,2.854,1.0,0.0
관리회계,양준선,월수,10:30~11:45,없음,경영학,MGT3005-02,3.0,23,없음,0.736,0.0,0.0
관리회계,황국재,화목,10:30~11:45,없음,경영학,MGT3005-02,3.0,23,없음,2.6,1.0,0.0
관리회계,황국재,화목,10:30~11:45,없음,경영학,MGT3005-03,3.0,23,없음,2.6,1.0,0.0
관리회계,김민,수금,13:30~14:45,없음,경영학,MGT3005-04,3.0,23,없음,알수없음,0.0,0.0
관리회계,김민,수금,15:00~16:15,없음,경영학,MGT3005-05,3.0,23,없음,알수없음,0.0,0.0
마케팅원론,임채운,화목,13:30~14:45,없음,,,,,,,,
마케팅원론,김주영,월수,10:30~11:45,없음,경영학,MGT3006-02,3.0,24,없음,2.192,0.0,0.0
마케팅원론,정재학,화목,10:30~11:45,없음,경영학,MGT3006-03,3.0,24,꼰대,2.259,0.0,0.0
마케팅원론,박경도,수금,09:00~10:15,없음,경영학,MGT3006-04,3.0,24,없음,0.581,0.0,0.0
마케팅원론,박경도,수금,15:00~16:15,없음,경영학,MGT3006-05,3.0,24,없음,0.581,0.0,0.0
마케팅원론,박세훈,화목,15:00~16:15,없음,경영학,MGT3006-03,3.0,24,없음,1.575,0.0,0.0
마케팅원론,박세훈,화목,15:00~16:15,없음,경영학,MGT3006-06,3.0,24,없음,1.575,0.0,0.0
마케팅원론,조혜원,화목,09:00~10:15,없음,경영학,MGT3006-07,3.0,24,없음,알수없음,0.0,0.0
국제경영론,이철,월수,16:30~17:45,없음,,,,,,,,
국제경영론,김창수,화목,10:30~11:45,없음,,,,,,,,
국제경영론,이강표,수금,15:00~16:15,없음,경영학,MGT3007-03,3.0,24,없음,2.986,0.0,0.0
국제경영론,정선욱,월수,10:30~11:45,없음,경영학,MGT3007-04,3.0,24,천사,2.037,0.0,0.0
국제경영론(중국어강의),"YANG, JUAN",월,13:30~16:15,없음,경영학,MGT3007-05,3.0,24,없음,알수없음,0.0,0.0
경영전략,김양민,월수,16:30~17:45,없음,경영학,MGT4102-01,3.0,24,없음,0.95,0.0,0.0
경영전략,서정일,수금,13:30~14:45,없음,경영학,MGT4102-02,3.0,24,없음,1.618,0.0,0.0
경영전략,이승혜,화목,13:30~14:45,없음,경영학,MGT4102-03,3.0,24,없음,알수없음,0.0,0.0
인적자원관리,양동훈,화목,13:30~14:45,없음,,,,,,,,
인적자원관리,최장호,화목,15:00~16:15,없음,,,,,,,,
기업지배구조와기업전략,서정일,수금,15:00~16:15,없음,,,,,,,,
의사결정론,조성빈,수금,13:30~14:45,없음,,,,,,,,
통계자료분석,이군희,월수,12:00~13:15,없음,,,,,,,,
경영과학,민재형,화목,10:30~11:45,없음,,,,,,,,
경영과학,조성빈,수금,15:00~16:15,없음,경영학,MGT4203-02,3.0,24,도도,1.661,0.0,0.0
경영과학,김범수,월수,10:30~11:45,없음,경영학,MGT4203-03,3.0,24,없음,2.168,0.0,0.0
시뮬레이션,민재형,화목,13:30~14:45,없음,,,,,,,,
응용경영통계,이윤동,화목,13:30~14:45,없음,경영학,MGT4207-01,3.0,24,꿀귀,1.868,1.0,0.0
응용경영통계,이윤동,화목,13:30~14:45,없음,빅데이터사이언스,MGT4207-01,3.0,24,꿀귀,1.868,1.0,0.0
응용경영통계,이윤동,화목,13:30~14:45,없음,인공지능,MGT4207-01,3.0,24,꿀귀,1.868,1.0,0.0
경영과정보기술,신지아,월수,12:00~13:15,없음,경영학,MGT4221-01,3.0,24,없음,알수없음,0.0,0.0
모바일통신경영,이상근,월수,16:30~17:45,없음,경영학,MGT4222-01,3.0,24,없음,알수없음,0.0,0.0
빅데이터와비즈니스인텔리젼스,김진화,월수,10:30~11:45,없음,,,,,,,,
지식경영과서비스혁신,김용진,월수,12:00~13:15,없음,,,,,,,,
기술경영,김미리,화목,09:00~10:15,없음,,,,,,,,
경영품질의이해,강세원,화목,16:30~17:45,없음,경영학,MGT4243-01,3.0,24,없음,알수없음,0.0,0.0
공급체인관리와e-business,김민균,월수,16:30~17:45,없음,,,,,,,,
비즈니스프로세스관리,이준겸,화목,15:00~16:15,없음,경영학,MGT4248-01,3.0,24,꿀귀,알수없음,0.0,0.0
투자론,홍광헌,화목,15:00~16:15,없음,경영학,MGT4301-01,3.0,24,꼰대악마,2.013,0.0,0.0
투자론,김도성,월수,16:30~17:45,없음,,,,,,,,
파생상품론,이정진,화목,10:30~11:45,없음,,,,,,,,
금융기관론,이상호,화목,10:30~11:45,없음,,,,,,,,
벤처캐피탈과투자분석(캡스톤디자인),안성필,화목,16:30~17:45,없음,경영학,MGT4308-01,3.0,24,없음,3.139,0.0,0.0
가치평가이론과실무,안성필,화목,15:00~16:15,없음,경영학,MGT4310-01,3.0,24,없음,2.664,0.0,0.0
벤처와금융시장(캡스톤디자인),정유신,수금,13:30~14:45,없음,,,,,,,,
보험학원론,최정호,월수,12:00~13:15,없음,경영학,MGT4331-01,3.0,24,꼰대,1.38,0.0,0.0
중급회계1,김아람,금,10:30~13:15,없음,경영학,MGT4401-01,3.0,24,없음,알수없음,0.0,0.0
중급회계1,송민섭,월수,12:00~13:15,없음,경영학,MGT4401-02,3.0,24,없음,1.549,0.0,0.0
중급회계2,최순재,화목,13:30~14:45,없음,,,,,,,,
고급회계,송민섭,월수,10:30~11:45,없음,,,,,,,,
원가회계,황국재,화목,13:30~14:45,없음,경영학,MGT4404-01,3.0,24,없음,2.986,0.0,0.0
회계감사,이동기,월,16:30~19:15,없음,경영학,MGT4407-01,3.0,24,없음,알수없음,0.0,0.0
소비자행동론,하영원,금,13:30~16:15,없음,경영학,MGT4502-01,3.0,24,없음,알수없음,0.0,0.0
시장조사론,박경도,수금,13:30~14:45,없음,경영학,MGT4503-01,3.0,24,없음,알수없음,0.0,0.0
브랜드전략론,전성률,화목,12:00~13:15,없음,경영학,MGT4505-01,3.0,24,없음,4.196,0.0,0.0
유통전략론,임채운,화목,15:00~16:15,없음,,,,,,,,
국제마케팅론,이철,월수,10:30~11:45,없음,,,,,,,,
빅데이터마케팅,정재학,화목,13:30~14:45,없음,경영학,MGT4515-01,3.0,24,꼰대,알수없음,0.0,0.0
기업과국제환경,정선욱,월수,12:00~13:15,없음,경영학,MGT4601-01,3.0,24,천사,2.034,0.0,1.0
기업과국제환경,김유진,월수,16:30~17:45,없음,경영학,MGT4601-02,3.0,24,없음,1.468,0.0,1.0
국제경영전략,김창수,화목,15:00~16:15,없음,,,,,,,,
무역경영관리,유치연,월,13:30~16:15,없음,,,,,,,,
경영영어라이팅,김이권,화목,12:00~13:15,없음,,,,,,,,
"지식,인성그리고경영","홍광헌, 김창수, 정선욱",금,13:30~17:30,PA101,,,,,,,,
사회적가치창출프랙티컴,이석근,화목,16:30~17:45,없음,,,,,,,,
국어학입문,이지영,화목,12:00~13:15,없음,국어국문학,KOR2001-01,3.0,12,없음,알수없음,0.0,0.0
국문학개설,황윤정,수금,13:30~14:45,없음,국어국문학,KOR2200-01,3.0,12,없음,알수없음,0.0,0.0
문학이란무엇인가,김경수,화목,15:00~16:15,없음,,,,,,,,
국어음운론,김한별,수금,13:30~14:45,없음,국어국문학,KOR3002-01,3.0,24,꿀귀도도천사,알수없음,0.0,0.0
국어형태론,황화상,화목,10:30~11:45,없음,,,,,,,,
국어의미론,이정훈,월수,12:00~13:15,없음,국어국문학,KOR3005-01,3.0,24,없음,알수없음,0.0,0.0
국어사,이지영,화목,15:00~16:15,없음,국어국문학,KOR3015-01,3.0,24,없음,알수없음,0.0,0.0
문학주제학,우찬제,수금,15:00~16:15,없음,국어국문학,KOR3209-01,3.0,24,없음,1.121,0.0,0.0
고전문학사,조경은,화목,16:30~17:45,없음,,,,,,,,
고전소설텍스트읽기,이정원,월수,12:00~13:15,없음,국어국문학,KOR3302-01,3.0,24,없음,알수없음,0.0,0.0
한문과한문학,이채은,월수,10:30~11:45,없음,국어국문학,KOR3304-01,3.0,24,없음,알수없음,0.0,0.0
신화론,황윤정,수금,15:00~16:15,없음,국어국문학,KOR3315-01,3.0,24,없음,알수없음,0.0,0.0
현대시텍스트읽기1,박슬기,화목,16:30~17:45,없음,국어국문학,KOR3401-01,3.0,24,없음,알수없음,0.0,0.0
현대소설텍스트읽기2,김경수,화목,10:30~11:45,없음,국어국문학,KOR3406-01,3.0,24,없음,알수없음,0.0,0.0
국어학연습,황화상,화목,13:30~14:45,없음,,,,,,,,
문학과문화콘텐츠,양세라,화목,12:00~13:15,없음,국어국문학,KOR4504-01,3.0,34,없음,1.274,0.0,0.0
이야기와이야기창작,김경수,화목,13:30~14:45,J107,국어국문학,KOR4505-01,3.0,34,없음,알수없음,0.0,0.0
국어교과교육론,주세형,월수,16:30~17:45,없음,국어국문학,KORQ981-01,3.0,34,없음,0.93,0.0,0.0
일반화학1,옥강민,화목,10:30~11:45,없음,화학,CHM1001-01,3.0,1,없음,1.968,0.0,0.0
일반화학1,권용석,월수,10:30~11:45,없음,,,,,,,,
일반화학1,문봉진,화목,12:00~13:15,없음,화학,CHM1001-03,3.0,1,없음,알수없음,0.0,0.0
일반화학1,옥강민,화목,13:30~14:45,없음,화학,CHM1001-04,3.0,1,없음,1.968,0.0,0.0
일반화학1,조규봉,수금,09:00~10:15,없음,화학,CHM1001-05,3.0,1,없음,알수없음,0.0,0.0
일반화학1,허남회,수금,09:00~10:15,없음,화학,CHM1001-06,3.0,1,없음,알수없음,0.0,0.0
일반화학1,조규봉,수금,13:30~14:45,없음,화학,CHM1001-07,3.0,1,없음,알수없음,0.0,0.0
일반화학실험1,권용석,월,13:30~16:15,R112,화학,CHM1051-01,1.0,1,없음,알수없음,1.0,0.0
일반화학실험1,윤경병,월,13:30~16:15,R114,화학,CHM1051-02,1.0,1,없음,알수없음,0.0,0.0
일반화학실험1,권용석,월,16:30~19:15,R112,화학,CHM1051-03,1.0,1,없음,알수없음,1.0,0.0
일반화학실험1,조규봉,월,16:30~19:15,R114,화학,CHM1051-04,1.0,1,없음,1.215,0.0,0.0
일반화학실험1,이덕형,화,13:30~16:15,R112,화학,CHM1051-05,1.0,1,꼰대,1.611,1.0,0.0
일반화학실험1,조규봉,화,13:30~16:15,R114,화학,CHM1051-06,1.0,1,없음,1.215,0.0,0.0
일반화학실험1,윤경병,화,16:30~19:15,R112,화학,CHM1051-07,1.0,1,없음,알수없음,0.0,0.0
일반화학실험1,이원구,화,16:30~19:15,R114,화학,CHM1051-08,1.0,1,도도,0.921,0.0,0.0
일반화학실험1,신관우,수,13:30~16:15,R112,화학,CHM1051-09,1.0,1,없음,알수없음,0.0,0.0
일반화학실험1,옥강민,수,13:30~16:15,R114,화학,CHM1051-10,1.0,1,없음,1.749,1.0,0.0
일반화학실험1,이현수,목,13:30~16:15,R112,화학,CHM1051-11,1.0,1,없음,알수없음,0.0,1.0
일반화학실험1,허남회,목,13:30~16:15,R114,화학,CHM1051-12,1.0,1,없음,알수없음,0.0,0.0
일반화학실험1,이덕형,목,16:30~19:15,R112,화학,CHM1051-13,1.0,1,꼰대,1.611,1.0,0.0
일반화학실험1,허남회,목,16:30~19:15,R114,화학,CHM1051-14,1.0,1,없음,알수없음,0.0,0.0
일반화학실험1,문봉진,금,13:30~16:15,R112,화학,CHM1051-15,1.0,1,없음,알수없음,0.0,1.0
일반화학실험1,이원구,금,13:30~16:15,R114,화학,CHM1051-16,1.0,1,도도,0.921,0.0,0.0
일반화학실험1,옥강민,금,16:30~19:15,R112,화학,CHM1051-17,1.0,1,없음,1.749,1.0,0.0
일반화학실험1,조규봉,금,16:30~19:15,R114,화학,CHM1051-18,1.0,1,없음,1.215,0.0,0.0
분석화학,신운섭,화목,10:30~11:45,K301,,,,,,,,
분석화학,신운섭,화목,13:30~14:45,K301,화학,CHM2101-02,3.0,2,없음,0.481,0.0,0.0
분석화학실험,신운섭,월,15:00~18:50,R115,,,,,,,,
분석화학실험,신운섭,화,15:00~18:50,R115,,,,,,,,
분석화학실험,신관우,목,15:00~18:50,R115,,,,,,,,
분석화학실험,신관우,금,15:00~18:50,R115,,,,,,,,
물리화학2,오한빈,월수,10:30~11:45,없음,,,,,,,,
물리화학특론,성봉준,화목,10:30~11:45,K201,화학,CHM2231-01,3.0,4,없음,알수없음,0.0,0.0
물리화학실험1,오한빈,월,15:00~18:50,R119,화학,CHM2251-01,2.0,3,없음,알수없음,0.0,0.0
물리화학실험1,오한빈,화,15:00~18:50,R119,화학,CHM2251-02,2.0,3,없음,알수없음,0.0,0.0
물리화학실험1,오한빈,금,15:00~18:50,R119,화학,CHM2251-03,2.0,3,없음,알수없음,0.0,0.0
유기화학1,문봉진,화목,09:00~10:15,없음,,,,,,,,
유기화학1,이원구,화목,09:00~10:15,없음,,,,,,,,
유기화학3,권용석,월수,12:00~13:15,없음,,,,,,,,
유기화학특론1,이원구,화목,12:00~13:15,없음,,,,,,,,
유기화학실험2,문봉진,목,15:00~18:50,R113,화학,CHM2352-01,2.0,34,없음,1.301,0.0,0.0
무기화학1,허남회,수금,13:30~14:45,없음,화학,CHM2401-01,3.0,3,없음,알수없음,0.0,0.0
고분자화학,신관우,월수,10:30~11:45,없음,,,,,,,,
생화학2,이현수,수금,09:00~10:15,없음,,,,,,,,
생화학실험,이현수,월,15:00~18:50,R117,,,,,,,,
생화학실험,이현수,화,15:00~18:50,R117,,,,,,,,
생화학실험,조규봉,목,15:00~18:50,R117,,,,,,,,
화학특허와기술이전,김현진,화,15:00~15:50,없음,,,,,,,,
