소속,과목코드,과목명,교수명,학점,수업요일,수업시간,강의실,권장학년,교수특징,경쟁점수,꿀점수,배움점수
빅데이터사이언스,STS2011-02,기초빅데이터프로그래밍,서경희,3,화목,12:00~13:15,AS107,24,도도천사,2.016,0,0
빅데이터사이언스,MAT2110-01,선형대수학,김종수,3,화목,10:30~11:45,RA408,2,없음,알수없음,0,0
빅데이터사이언스,MAT2110-02,선형대수학,조상현,3,수금,13:30~14:45,K212,2,없음,1.646,1,0
빅데이터사이언스,MAT2110-03,선형대수학,조성희,3,화목,13:30~14:45,K307,2,꼰대,알수없음,0,0
빅데이터사이언스,MAT2110-04,선형대수학,김순영,3,화목,10:30~11:45,RA410,2,도도천사,알수없음,0,0
빅데이터사이언스,MAT2110-05,선형대수학,최미란,3,금,10:30~13:15,RA408,2,천사,알수없음,0,0
빅데이터사이언스,MAT2110-01,선형대수학,조상현,3,수금,09:00~10:15,RA308,2,없음,1.646,1,0
빅데이터사이언스,MAT2110-02,선형대수학,이영란,3,수금,13:30~14:45,RA308,2,없음,1.337,0,0
빅데이터사이언스,MAT2110-03,선형대수학,유지현,3,월,13:30~16:15,RA308,2,도도,알수없음,0,0
빅데이터사이언스,MAT2110-02,선형대수학,조성희,3,화목,10:30~11:45,RA406B,2,꼰대,알수없음,0,0
빅데이터사이언스,MAT2110-03,선형대수학,Ho,3,화목,09:00~10:15,RA406B,2,없음,알수없음,0,0
빅데이터사이언스,MAT2110-04,선형대수학,조성희,3,화목,12:00~13:15,RA406B,2,꼰대,알수없음,0,0
빅데이터사이언스,MAT2110-05,선형대수학,한상현,3,화목,13:30~14:45,RA308,2,없음,알수없음,0,0
빅데이터사이언스,MAT2110-03,선형대수학,조장현,3,화목,12:00~13:15,없음,2,없음,알수없음,0,0
빅데이터사이언스,MAT2110-03,선형대수학,이영란,3,화목,09:00~10:15,없음,2,없음,1.337,0,0
빅데이터사이언스,MAT2110-04,선형대수학,Ho,3,월수,12:00~13:15,없음,2,없음,알수없음,0,0
빅데이터사이언스,MAT2110-05,선형대수학,옥지훈,3,화목,13:30~14:45,없음,2,없음,알수없음,0,0
빅데이터사이언스,MAT3020-01,통계학입문,임경수,3,월수,10:30~11:45,K303,2,없음,알수없음,0,0
빅데이터사이언스,MAT3020-01,통계학입문,임경필,3,화목,09:00~10:15,RA408,2,없음,알수없음,0,0
빅데이터사이언스,MAT3020-02,통계학입문,임경필,3,화목,10:30~11:45,RA408,2,없음,알수없음,0,0
빅데이터사이언스,MAT3020-01,통계학입문,최정아,3,화목,12:00~13:15,RA308,2,없음,알수없음,0,0
빅데이터사이언스,MGT2002-01,경영통계학,김명석,3,화목,10:30~11:45,MA406,1,귀염,3.383,0,1
빅데이터사이언스,MGT2002-02,경영통계학,이윤동,3,수금,15:00~16:15,MA106,1,귀염,2.172,0,1
빅데이터사이언스,MGT2002-03,경영통계학,김범수,3,화목,12:00~13:15,MA102,1,없음,1.737,0,0
빅데이터사이언스,MGT2002-04,경영통계학,Sutherland 외 1명,3,수금,13:30~14:45,MA204,1,없음,알수없음,1,0
빅데이터사이언스,MGT2002-01,경영통계학,이군희,3,월수,10:30~11:45,MA204,1,없음,3.188,0,1
빅데이터사이언스,MGT2002-02,경영통계학,조성빈,3,화목,13:30~14:45,MA208,1,도도,알수없음,0,0
빅데이터사이언스,MGT2002-03,경영통계학,김명석,3,화목,12:00~13:15,MA406,1,귀염,3.383,0,1
빅데이터사이언스,MGT2002-04,경영통계학,이윤동,3,수금,15:00~16:15,MA106,1,귀염,2.172,0,1
빅데이터사이언스,MGT2002-05,경영통계학,정예숙,3,월수,12:00~13:15,MA204,1,없음,2.05,0,0
빅데이터사이언스,MGT2002-02,경영통계학,김명석,3,화목,13:30~14:45,MA406,1,귀염,3.383,0,1
빅데이터사이언스,MGT2002-03,경영통계학,이윤동,3,수금,15:00~16:15,MA308,1,귀염,2.172,0,1
빅데이터사이언스,MGT2002-04,경영통계학,정예숙,3,월수,16:30~17:45,MA308,1,없음,2.05,0,0
빅데이터사이언스,MGT2002-05,경영통계학,김범수,3,월수,16:30~17:45,K302,1,없음,1.737,0,0
빅데이터사이언스,MGT2002-06,경영통계학,정예숙,3,수금,13:30~14:45,없음,1,없음,2.05,0,0
빅데이터사이언스,MGT2002-04,경영통계학,김범수,3,월수,16:30~17:45,없음,1,없음,1.737,0,0
빅데이터사이언스,ECO2004-01,경제통계학,주하연,3,수금,13:30~14:45,GN202,1,도도,알수없음,0,0
빅데이터사이언스,ECO2004-02,경제통계학,사공용,3,화목,09:00~10:15,GN201,1,귀염,1.914,1,1
빅데이터사이언스,ECO2004-03,경제통계학,사공용,3,화목,13:30~14:45,GN202,1,귀염,1.914,1,1
빅데이터사이언스,ECO2004-01,경제통계학,박경옥,3,금,10:30~13:15,GN102,1,없음,알수없음,0,0
빅데이터사이언스,ECO2004-02,경제통계학,이수형,3,수금,13:30~14:45,GN102,1,없음,알수없음,0,0
빅데이터사이언스,ECO2004-04,경제통계학,이영훈,3,화목,15:00~16:15,GN201,1,없음,알수없음,0,0
빅데이터사이언스,ECO2004-01,경제통계학,사공용,3,화목,09:00~10:15,GN201,1,귀염,1.914,1,1
빅데이터사이언스,ECO2004-03,경제통계학,이강오,3,화목,12:00~13:15,GN203,1,없음,알수없음,0,0
빅데이터사이언스,ECO2004-03,경제통계학,이영훈,3,화목,15:00~16:15,GN101,1,없음,알수없음,0,0
빅데이터사이언스,ECO2004-03,경제통계학,이한식,3,화목,10:30~11:45,없음,1,없음,알수없음,0,0
빅데이터사이언스,ECO2004-04,경제통계학,사공용,3,화목,15:00~16:15,없음,1,귀염,1.914,1,1
빅데이터사이언스,CSW2010-01,기초C언어,이지선,3,월수,10:30~11:45,K103,24,없음,알수없음,0,0
빅데이터사이언스,CSW2010-02,기초C언어,이지선,3,월수,12:00~13:15,K103,24,없음,알수없음,0,0
빅데이터사이언스,CSW2010-01,기초C언어,박주미,3,화목,13:30~14:45,K307,24,없음,알수없음,0,0
빅데이터사이언스,CSW2010-02,기초C언어,강호석,3,월수,12:00~13:15,K212,24,없음,알수없음,0,0
빅데이터사이언스,CSW2010-01,기초C언어,강호석,3,화목,13:30~14:45,없음,24,없음,알수없음,0,0
빅데이터사이언스,CSW2020-01,기초Java언어,이지선,3,월수,10:30~11:45,K502,24,없음,알수없음,0,0
빅데이터사이언스,CSW2020-02,기초Java언어,이지선,3,월수,12:00~13:15,K502,24,없음,알수없음,0,0
빅데이터사이언스,CSW2020-01,기초Java언어,박주미,3,화목,10:30~11:45,없음,24,없음,알수없음,0,1
빅데이터사이언스,CSW2020-02,기초Java언어,강호석,3,월수,12:00~13:15,없음,24,없음,알수없음,0,0
빅데이터사이언스,CSW2030-01,자료구조입문,장직현,3,화목,15:00~16:15,K502,24,없음,알수없음,0,0
빅데이터사이언스,CSW2030-01,자료구조입문,강호석,3,월수,10:30~11:45,없음,24,없음,알수없음,0,0
빅데이터사이언스,CSW3010-01,알고리즘입문,장직현,3,화목,15:00~16:15,K303,24,없음,알수없음,0,0
빅데이터사이언스,CSW3010-01,알고리즘입문,임종석,3,화목,15:00~16:15,없음,24,귀염꼰대도도,알수없음,0,0
빅데이터사이언스,CSW3030-01,데이터베이스입문,박석,3,월수,16:30~17:45,K502,24,없음,알수없음,0,0
빅데이터사이언스,EEE4178-01,인공지능(딥러닝)개론,박형민,3,수금,13:30~14:45,AS301,4,없음,알수없음,0,0
빅데이터사이언스,MAT3110-01,이산수학,Ho,3,수금,09:00~10:15,K307,34,없음,알수없음,0,0
빅데이터사이언스,MAT3110-01,이산수학,오영탁,3,월수,16:30~17:45,RA410,34,없음,알수없음,0,1
빅데이터사이언스,MGT4202-01,통계자료분석,이군희,3,월수,12:00~13:15,MA308,24,없음,1.787,0,0
빅데이터사이언스,MGT4207-01,응용경영통계,이윤동,3,수금,13:30~14:45,MA106,24,귀염,1.868,1,0
빅데이터사이언스,MGT4226-01,빅데이터와비즈니스인텔리젼스,김진화,3,월수,10:30~11:45,MA102,24,없음,2.666,1,0
빅데이터사이언스,MGT4208-01,웹데이터분석과응용,김명석,3,화목,15:00~16:15,MA404,34,귀염,알수없음,0,0
빅데이터사이언스,ECO2009-01,계량경제학1,최인,3,월수,16:30~17:45,GN301,23,없음,알수없음,0,0
빅데이터사이언스,ECO2009-02,계량경제학1,이한식,3,화목,10:30~11:45,GN201,23,없음,1.724,0,0
빅데이터사이언스,ECO2009-03,계량경제학1,이영훈,3,화목,15:00~16:15,GN202,23,없음,알수없음,0,0
빅데이터사이언스,ECO2009-02,계량경제학1,남준우,3,화목,10:30~11:45,GN202,23,도도,1.737,0,1
빅데이터사이언스,ECO2009-03,계량경제학1,이한식,3,화목,12:00~13:15,GN301,23,없음,1.724,0,0
빅데이터사이언스,ECO2009-01,계량경제학1,남준우,3,화목,10:30~11:45,GN301,23,도도,1.737,0,1
빅데이터사이언스,ECO2009-02,계량경제학1,이영훈,3,화목,12:00~13:15,GN301,23,없음,알수없음,0,0
빅데이터사이언스,ECO2009-03,계량경제학1,최인,3,화목,13:30~14:45,GN203,23,없음,알수없음,0,0
빅데이터사이언스,ECO2009-01,계량경제학1,이성원,3,월수,16:30~17:45,없음,23,없음,알수없음,0,0
빅데이터사이언스,ECO4004-01,경제수리통계학,남준우,3,화목,15:00~16:15,GN301,3,도도,1.702,0,0
빅데이터사이언스,ECO4034-01,금융시장행태주의(behavioral)분석(캡스톤디자인),정재식,3,화목,09:00~10:15,없음,34,없음,알수없음,0,0
빅데이터사이언스,ECO4032-01,금융시장계량분석(캡스톤디자인),최인,3,월수,10:30~11:45,GN304,34,없음,2.258,0,0
빅데이터사이언스,CSW2050-01,코퍼스언어학,홍정하,3,화목,12:00~13:15,K306,24,도도,알수없음,0,0
빅데이터사이언스,CSW4020-01,정보처리및자연언어처리,홍정하,3,화목,12:00~13:15,AS305,24,도도,알수없음,0,1
빅데이터사이언스,MAS2010-01,Fundamentals of Computer Science for Korean Studies,조은경,3,화목,12:00~13:15,D303B,14,없음,알수없음,0,0
빅데이터사이언스,MAS1004-01,Data&AI,조은경,3,월수,12:00~13:15,K203,1,없음,알수없음,0,1
빅데이터사이언스,MAS1004-03,Data&AI,조은경,3,화목,12:00~13:15,K303,1,없음,알수없음,0,1
빅데이터사이언스,MAS1004-01,Data&AI,정문열,3,수금,13:30~14:45,없음,1,없음,알수없음,0,0
빅데이터사이언스,MAS1004-02,Data&AI,사영준,3,화목,13:30~14:45,없음,1,없음,알수없음,0,1
빅데이터사이언스,MAS1004-03,Data&AI,사영준,3,수금,09:00~10:15,없음,1,없음,알수없음,0,1
빅데이터사이언스,JAS4014-01,데이터마이닝,임종섭,3,화목,13:30~14:45,GA303B,34,없음,1.101,0,0
빅데이터사이언스,AIC4012-01,AI기반기술경영및정책,문성욱 외 3명,3,월,13:30~16:15,없음,34,없음,알수없음,1,1
융합소프트웨어,ECO2004-01,경제통계학,주하연,3,수금,13:30~14:45,GN202,1,도도,알수없음,0,0
융합소프트웨어,ECO2004-02,경제통계학,사공용,3,화목,09:00~10:15,GN201,1,귀염,1.914,1,1
융합소프트웨어,ECO2004-03,경제통계학,사공용,3,화목,13:30~14:45,GN202,1,귀염,1.914,1,1
융합소프트웨어,ECO2004-01,경제통계학,박경옥,3,금,10:30~13:15,GN102,1,없음,알수없음,0,0
융합소프트웨어,ECO2004-02,경제통계학,이수형,3,수금,13:30~14:45,GN102,1,없음,알수없음,0,0
융합소프트웨어,ECO2004-04,경제통계학,이영훈,3,화목,15:00~16:15,GN201,1,없음,알수없음,0,0
융합소프트웨어,ECO2004-01,경제통계학,사공용,3,화목,09:00~10:15,GN201,1,귀염,1.914,1,1
융합소프트웨어,ECO2004-03,경제통계학,이강오,3,화목,12:00~13:15,GN203,1,없음,알수없음,0,0
융합소프트웨어,ECO2004-03,경제통계학,이영훈,3,화목,15:00~16:15,GN101,1,없음,알수없음,0,0
융합소프트웨어,ECO2004-03,경제통계학,이한식,3,화목,10:30~11:45,없음,1,없음,알수없음,0,0
융합소프트웨어,ECO2004-04,경제통계학,사공용,3,화목,15:00~16:15,없음,1,귀염,1.914,1,1
융합소프트웨어,MGT2002-01,경영통계학,김명석,3,화목,10:30~11:45,MA406,1,귀염,3.383,0,1
융합소프트웨어,MGT2002-02,경영통계학,이윤동,3,수금,15:00~16:15,MA106,1,귀염,2.172,0,1
융합소프트웨어,MGT2002-03,경영통계학,김범수,3,화목,12:00~13:15,MA102,1,없음,1.737,0,0
융합소프트웨어,MGT2002-04,경영통계학,Sutherland 외 1명,3,수금,13:30~14:45,MA204,1,없음,알수없음,1,0
융합소프트웨어,MGT2002-01,경영통계학,이군희,3,월수,10:30~11:45,MA204,1,없음,3.188,0,1
융합소프트웨어,MGT2002-02,경영통계학,조성빈,3,화목,13:30~14:45,MA208,1,도도,알수없음,0,0
융합소프트웨어,MGT2002-03,경영통계학,김명석,3,화목,12:00~13:15,MA406,1,귀염,3.383,0,1
융합소프트웨어,MGT2002-04,경영통계학,이윤동,3,수금,15:00~16:15,MA106,1,귀염,2.172,0,1
융합소프트웨어,MGT2002-05,경영통계학,정예숙,3,월수,12:00~13:15,MA204,1,없음,2.05,0,0
융합소프트웨어,MGT2002-02,경영통계학,김명석,3,화목,13:30~14:45,MA406,1,귀염,3.383,0,1
융합소프트웨어,MGT2002-03,경영통계학,이윤동,3,수금,15:00~16:15,MA308,1,귀염,2.172,0,1
융합소프트웨어,MGT2002-04,경영통계학,정예숙,3,월수,16:30~17:45,MA308,1,없음,2.05,0,0
융합소프트웨어,MGT2002-05,경영통계학,김범수,3,월수,16:30~17:45,K302,1,없음,1.737,0,0
융합소프트웨어,MGT2002-06,경영통계학,정예숙,3,수금,13:30~14:45,없음,1,없음,2.05,0,0
융합소프트웨어,MGT2002-04,경영통계학,김범수,3,월수,16:30~17:45,없음,1,없음,1.737,0,0
융합소프트웨어,MAT3020-01,통계학입문,임경수,3,월수,10:30~11:45,K303,2,없음,알수없음,0,0
융합소프트웨어,MAT3020-01,통계학입문,임경필,3,화목,09:00~10:15,RA408,2,없음,알수없음,0,0
융합소프트웨어,MAT3020-02,통계학입문,임경필,3,화목,10:30~11:45,RA408,2,없음,알수없음,0,0
융합소프트웨어,MAT3020-01,통계학입문,최정아,3,화목,12:00~13:15,RA308,2,없음,알수없음,0,0
융합소프트웨어,MAT2110-01,선형대수학,김종수,3,화목,10:30~11:45,RA408,2,없음,알수없음,0,0
융합소프트웨어,MAT2110-02,선형대수학,조상현,3,수금,13:30~14:45,K212,2,없음,1.646,1,0
융합소프트웨어,MAT2110-03,선형대수학,조성희,3,화목,13:30~14:45,K307,2,꼰대,알수없음,0,0
융합소프트웨어,MAT2110-04,선형대수학,김순영,3,화목,10:30~11:45,RA410,2,도도천사,알수없음,0,0
융합소프트웨어,MAT2110-05,선형대수학,최미란,3,금,10:30~13:15,RA408,2,천사,알수없음,0,0
융합소프트웨어,MAT2110-01,선형대수학,조상현,3,수금,09:00~10:15,RA308,2,없음,1.646,1,0
융합소프트웨어,MAT2110-02,선형대수학,이영란,3,수금,13:30~14:45,RA308,2,없음,1.337,0,0
융합소프트웨어,MAT2110-03,선형대수학,유지현,3,월,13:30~16:15,RA308,2,도도,알수없음,0,0
융합소프트웨어,MAT2110-02,선형대수학,조성희,3,화목,10:30~11:45,RA406B,2,꼰대,알수없음,0,0
융합소프트웨어,MAT2110-03,선형대수학,Ho,3,화목,09:00~10:15,RA406B,2,없음,알수없음,0,0
융합소프트웨어,MAT2110-04,선형대수학,조성희,3,화목,12:00~13:15,RA406B,2,꼰대,알수없음,0,0
융합소프트웨어,MAT2110-05,선형대수학,한상현,3,화목,13:30~14:45,RA308,2,없음,알수없음,0,0
융합소프트웨어,MAT2110-03,선형대수학,조장현,3,화목,12:00~13:15,없음,2,없음,알수없음,0,0
융합소프트웨어,MAT2110-03,선형대수학,이영란,3,화목,09:00~10:15,없음,2,없음,1.337,0,0
융합소프트웨어,MAT2110-04,선형대수학,Ho,3,월수,12:00~13:15,없음,2,없음,알수없음,0,0
융합소프트웨어,MAT2110-05,선형대수학,옥지훈,3,화목,13:30~14:45,없음,2,없음,알수없음,0,0
융합소프트웨어,MAT3110-01,이산수학,Ho,3,수금,09:00~10:15,K307,34,없음,알수없음,0,0
융합소프트웨어,MAT3110-01,이산수학,오영탁,3,월수,16:30~17:45,RA410,34,없음,알수없음,0,1
융합소프트웨어,ECO2003-01,경제수리기초,이강오,3,화목,09:00~10:15,GN202,1,없음,알수없음,0,0
융합소프트웨어,ECO2003-02,경제수리기초,이강오,3,화목,12:00~13:15,GN202,1,없음,알수없음,0,0
융합소프트웨어,ECO2003-01,경제수리기초,김형욱,3,수금,15:00~16:15,GN201,1,도도,1.343,0,1
융합소프트웨어,ECO2003-03,경제수리기초,이강오,3,화목,13:30~14:45,GN201,1,없음,알수없음,0,0
융합소프트웨어,ECO2003-01,경제수리기초,박경옥,3,수금,09:00~10:15,GN201,1,없음,2.775,1,0
